node_id,element,node_type,end,x_nm,y_nm,z_nm,coordinates_generated_by,energy_minimized,MD_relaxed
A:LOWER:-2:-6,B,ANNULUS_INTERIOR,LOWER,3.6024113157703073,4.4585629905286925,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-2:-8,B,ANNULUS_INTERIOR,LOWER,3.5248117943218134,4.697372174728055,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-2:4,B,ANNULUS_INNER_BOUNDARY,LOWER,3.9904089230127777,3.264517069531884,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-2:6,B,ANNULUS_INTERIOR,LOWER,4.068008444461272,3.025707885332522,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-2:8,B,ANNULUS_INTERIOR,LOWER,4.1456079659097655,2.7868987011331603,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-4:-4,N,ANNULUS_INTERIOR,LOWER,3.817887384001258,4.264555910926606,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-4:-6,N,ANNULUS_INTERIOR,LOWER,3.740287862552764,4.503365095125966,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-4:-8,N,ANNULUS_OUTER_BOUNDARY,LOWER,3.66268834110427,4.7421742793253285,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-4:4,N,ANNULUS_INTERIOR,LOWER,4.128285469795234,3.309319174129158,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-4:6,N,ANNULUS_INTERIOR,LOWER,4.205884991243728,3.070509989929796,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-4:8,N,ANNULUS_OUTER_BOUNDARY,LOWER,4.2834845126922225,2.8317008057304345,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-5:-3,B,ANNULUS_INNER_BOUNDARY,LOWER,3.9256254181167334,4.167552371125562,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-5:-5,B,ANNULUS_INTERIOR,LOWER,3.8480258966682395,4.406361555324923,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-5:-7,B,ANNULUS_INTERIOR,LOWER,3.770426375219745,4.645170739524286,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-5:3,B,ANNULUS_INNER_BOUNDARY,LOWER,4.158423982462216,3.4511248185274757,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-5:5,B,ANNULUS_INTERIOR,LOWER,4.23602350391071,3.2123156343281143,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-5:7,B,ANNULUS_INTERIOR,LOWER,4.313623025359203,2.973506450128752,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-7:-1,N,ANNULUS_INNER_BOUNDARY,LOWER,4.141101486347684,3.973545291523474,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
