state,lag_frames,lag_ps,normalized_autocorrelation,n_products
PYR2_bright,0,0.0,1.0,21
PYR2_bright,1,5.0,-0.08859593023255816,20
PYR2_bright,2,10.0,-0.07252141982864141,19
PYR2_bright,3,15.0,-0.3431395348837209,18
PYR2_bright,4,20.0,0.051412448700410424,17
PYR2_bright,5,25.0,0.07123909883720937,16
PYR2_bright,6,30.0,-0.012593023255813948,15
PYR2_bright,7,35.0,-0.1948255813953488,14
PYR2_bright,8,40.0,-0.0015295169946332903,13
PYR2_bright,9,45.0,-0.08542151162790698,12
PYR2_bright,10,50.0,0.1646194503171247,11
PYR2_bright,11,55.0,-0.05874418604651165,10
PYR2_bright,12,60.0,0.38751937984496126,9
PYR2_bright,13,65.0,-0.25162063953488367,8
PYR2_bright,14,70.0,0.07604651162790696,7
PYR2_bright,15,75.0,-0.13354651162790704,6
PYR2_bright,16,80.0,-0.573,5
PYR2_bright,17,85.0,-0.43399709302325584,4
PYR2_bright,18,90.0,-0.014709302325581389,3
PYR2_bright,19,95.0,0.5656395348837209,2
PYR2_bright,20,100.0,1.8586046511627905,1
PYR3_bright,0,0.0,1.0,21
PYR3_bright,1,5.0,-0.41792173737645383,20
PYR3_bright,2,10.0,0.3257138509556349,19
PYR3_bright,3,15.0,-0.13064781819404286,18
PYR3_bright,4,20.0,0.09594666213153717,17
PYR3_bright,5,25.0,-0.15631303368520136,16
PYR3_bright,6,30.0,-0.017397297115578553,15
PYR3_bright,7,35.0,-0.3375411820076648,14
PYR3_bright,8,40.0,0.12084753476873425,13
PYR3_bright,9,45.0,-0.1889791904793921,12
PYR3_bright,10,50.0,0.09878944762626597,11
PYR3_bright,11,55.0,0.14110636724265443,10
PYR3_bright,12,60.0,-0.02728097895515364,9
PYR3_bright,13,65.0,-0.07689059033147314,8
PYR3_bright,14,70.0,-0.30345256505076307,7
PYR3_bright,15,75.0,0.531441202178444,6
PYR3_bright,16,80.0,-0.44128958515430633,5
PYR3_bright,17,85.0,-0.07058091844281582,4
PYR3_bright,18,90.0,-0.24166274457069853,3
PYR3_bright,19,95.0,0.5859779466146707,2
PYR3_bright,20,100.0,-0.08505345256505074,1
PYR4_bright,0,0.0,1.0,21
PYR4_bright,1,5.0,-0.28624327678940836,20
PYR4_bright,2,10.0,-0.08451102933170745,19
PYR4_bright,3,15.0,-0.13863605019997238,18
PYR4_bright,4,20.0,-0.17250115602716054,17
PYR4_bright,5,25.0,0.46161563922217624,16
PYR4_bright,6,30.0,-0.06581712867190728,15
PYR4_bright,7,35.0,-0.10459247000413734,14
PYR4_bright,8,40.0,-0.31768880684892264,13
PYR4_bright,9,45.0,0.13254033926354983,12
PYR4_bright,10,50.0,0.2298905480121864,11
PYR4_bright,11,55.0,-0.12159702110053784,10
PYR4_bright,12,60.0,-0.13829816577023857,9
PYR4_bright,13,65.0,-0.026675630947455523,8
PYR4_bright,14,70.0,0.08134050475796442,7
PYR4_bright,15,75.0,0.051882498965659905,6
PYR4_bright,16,80.0,-0.0030864708316094567,5
PYR4_bright,17,85.0,-0.24323541580471655,4
PYR4_bright,18,90.0,-0.0746793545717832,3
PYR4_bright,19,95.0,0.12732726520479934,2
PYR4_bright,20,100.0,0.08605709557302439,1
PYR5_bright,0,0.0,1.0,21
PYR5_bright,1,5.0,0.07181904778704865,20
PYR5_bright,2,10.0,0.0071837012842925945,19
PYR5_bright,3,15.0,0.1074267788577443,18
PYR5_bright,4,20.0,-0.2605101311282508,17
PYR5_bright,5,25.0,0.0412552479316975,16
PYR5_bright,6,30.0,-0.1263366790735416,15
PYR5_bright,7,35.0,-0.23880735239640838,14
PYR5_bright,8,40.0,0.1979389570897624,13
PYR5_bright,9,45.0,-0.13489389475912436,12
PYR5_bright,10,50.0,-0.3296847712960186,11
PYR5_bright,11,55.0,-0.2756557709608565,10
PYR5_bright,12,60.0,-0.5436357435598911,9
PYR5_bright,13,65.0,-0.31729810898057825,8
PYR5_bright,14,70.0,0.3631215932544232,7
PYR5_bright,15,75.0,0.12262520065621192,6
PYR5_bright,16,80.0,0.3455943833900757,5
PYR5_bright,17,85.0,0.6889850764698617,4
PYR5_bright,18,90.0,-0.1973134117730071,3
PYR5_bright,19,95.0,0.3809160507329464,2
PYR5_bright,20,100.0,-0.07130131065991638,1
