bond_class,count,target_nm,minimum_nm,mean_nm,maximum_nm,maximum_absolute_deviation_nm
B-H,102,0.119,0.1189999999999991,0.119,0.11900000000000086,8.881784197001252e-16
B-N,3066,0.144973,0.14377760604489134,0.14497317924144748,0.14603424255975045,0.0011953939551086479
N-H,102,0.101,0.10099999999999926,0.10099999999999999,0.10100000000000087,8.604228440844963e-16
