cluster,output,tracked_root,tracked_energy_eV,tracked_fosc,tracked_HOMO_LUMO_weight,alternate_root,alternate_energy_eV,alternate_fosc,alternate_HOMO_LUMO_weight,HOMO_LUMO_weight_contrast,state_separation_meV,S1_energy_eV,S1_fosc,S1_HOMO_LUMO_weight,S2_energy_eV,S2_fosc,S2_HOMO_LUMO_weight
PYR2,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR2_vacuum_reference/frame000_PYR2_vacuum_reference.out,2,4.09,0.505315135,0.846347,1,4.001,0.000794493,0,0.846347,88.99999999999952,4.001,0.000794493,0.0,4.09,0.505315135,0.846347
PYR3,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR3_vacuum_reference/frame000_PYR3_vacuum_reference.out,2,4.081,0.514410671,0.848738,1,4.001,0.000675186,0,0.848738,80.00000000000007,4.001,0.000675186,0.0,4.081,0.514410671,0.848738
PYR4,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR4_vacuum_reference/frame000_PYR4_vacuum_reference.out,2,4.089,0.518148235,0.849718,1,4.015,0.001167282,0,0.849718,74.00000000000074,4.015,0.001167282,0.0,4.089,0.518148235,0.849718
PYR5,runs/phase1A/day016_md_bath_extraction/day019_vacuum_reference_inputs/frame000_PYR5_vacuum_reference/frame000_PYR5_vacuum_reference.out,1,3.78,0.664486314,0.877731,2,3.846,0.005932144,0,0.877731,66.00000000000028,3.78,0.664486314,0.877731,3.846,0.005932144,0.0
