bridge_atoms_per_attachment,bond_count_seed_to_annulus,sample_count,internal_angle_minimum_deg,internal_angle_maximum_deg,torsion_step_deg,minimum_end_to_end_nm,percentile_1_nm,percentile_5_nm,median_nm,percentile_95_nm,percentile_99_nm,maximum_end_to_end_nm,maximum_contour_length_nm
1,2,7,105,135,30,0.23002962760408247,0.23047844146584248,0.23227369691288255,0.2511006017256828,0.2663467177395008,0.2675694834947142,0.26787517493351753,0.289946
2,3,588,105,135,30,0.22001654685129554,0.24287130015888334,0.26507718902518634,0.34191053687567713,0.3904914623229763,0.3983505970564358,0.40562469034851073,0.43491899999999994
3,4,49392,105,135,30,0.11907209712355424,0.21620110034290188,0.27189552405019607,0.42202170802499506,0.49840420079819153,0.5158048692607741,0.5357503498670351,0.579892
