site_character,n_frames,mean_assigned_site_weight,minimum_assigned_site_weight,maximum_assigned_site_weight,mean_participation_ratio,maximum_participation_ratio,mean_energy_relative_to_minimum_meV,sd_energy_relative_to_minimum_meV
PYR2_bright,21,0.9460215504815197,0.585079804868534,0.9983398795387592,1.1417262508325212,2.320444000050183,311.5851459440104,21.153338383168613
PYR3_bright,21,0.9396609436536794,0.5793873210558982,0.9964495039419777,1.1473504642488226,2.1046208850401453,301.08414990530605,21.601836732685207
PYR4_bright,21,0.963826698625961,0.6195197751820889,0.9988751447968722,1.0864301168650674,2.022351842741994,313.7399055331601,15.985053715564232
PYR5_bright,21,0.9999772859505602,0.9999723504933464,0.9999832264148323,1.0000454291865657,1.0000553005899067,0.0,0.0
