gate,pass
R2_architecture_selection_is_valid,True
explicit_topology_terminal_classification_is_valid,True
system_has_68332_atoms,True
HBN_has_1680_atoms,True
HBN_atoms_are_first_and_contiguous,True
pyrene_atom_count_is_104,True
water_atom_count_is_66260,True
cap_atom_count_is_288,True
cap_split_is_144_per_end,True
TPR_dump_return_code_zero,True
TPR_HBN_atom_count_is_1680,True
HBN_contains_840_B_and_840_N,True
HBN_contains_only_B_and_N,True
current_HBN_screening_charges_are_zero,True
geometry_bond_count_is_expected,True
geometry_has_60_degree1_terminal_atoms,True
geometry_has_zero_degree2_atoms,True
geometry_has_1620_degree3_interior_atoms,True
geometry_has_no_coordination_anomalies,True
geometry_BN_bond_lengths_are_plausible,True
lower_end_has_60_atoms,True
upper_end_has_60_atoms,True
lower_end_is_30B_and_0N,True
upper_end_is_0B_and_30N,True
lower_end_is_planar,True
upper_end_is_planar,True
terminal_radii_are_symmetric,True
lower_end_is_elementally_pure_B,True
upper_end_is_elementally_pure_N,True
terminal_to_terminal_bond_count_is_zero,True
terminal_to_interior_bond_count_is_60,True
validated_aperture_is_finite_and_open,True
validated_open_area_fraction_is_valid,True
required_radial_occlusion_is_positive,True
monolayer_annulus_population_is_comparable_to_R2_beads,True
