dataset,bin,normalized_axial_lower,normalized_axial_upper,normalized_axial_center,mean_number_density_nm-3,std_number_density_nm-3,total_waterO_observations
frozen,0,0.0,0.041666666666666664,0.020833333333333332,0.07902269108676609,0.30737317536059194,18
frozen,1,0.041666666666666664,0.08333333333333333,0.0625,0.0,0.0,0
frozen,2,0.08333333333333333,0.125,0.10416666666666666,0.0,0.0,0
frozen,3,0.125,0.16666666666666666,0.14583333333333331,0.0,0.0,0
frozen,4,0.16666666666666666,0.20833333333333331,0.1875,0.0,0.0,0
frozen,5,0.20833333333333331,0.25,0.22916666666666666,0.0,0.0,0
frozen,6,0.25,0.29166666666666663,0.2708333333333333,0.0,0.0,0
frozen,7,0.29166666666666663,0.3333333333333333,0.3125,0.0,0.0,0
frozen,8,0.3333333333333333,0.375,0.35416666666666663,0.0,0.0,0
frozen,9,0.375,0.41666666666666663,0.3958333333333333,0.0,0.0,0
frozen,10,0.41666666666666663,0.4583333333333333,0.4375,0.0,0.0,0
frozen,11,0.4583333333333333,0.5,0.47916666666666663,0.0,0.0,0
frozen,12,0.5,0.5416666666666666,0.5208333333333333,0.0,0.0,0
frozen,13,0.5416666666666666,0.5833333333333333,0.5625,0.0,0.0,0
frozen,14,0.5833333333333333,0.625,0.6041666666666666,0.0,0.0,0
frozen,15,0.625,0.6666666666666666,0.6458333333333333,0.0,0.0,0
frozen,16,0.6666666666666666,0.7083333333333333,0.6875,0.0,0.0,0
frozen,17,0.7083333333333333,0.75,0.7291666666666666,0.0,0.0,0
frozen,18,0.75,0.7916666666666666,0.7708333333333333,0.0,0.0,0
frozen,19,0.7916666666666666,0.8333333333333333,0.8125,0.0,0.0,0
frozen,20,0.8333333333333333,0.875,0.8541666666666666,0.0,0.0,0
frozen,21,0.875,0.9166666666666666,0.8958333333333333,0.0,0.0,0
frozen,22,0.9166666666666666,0.9583333333333333,0.9375,0.0,0.0,0
frozen,23,0.9583333333333333,1.0,0.9791666666666666,0.32487106335670435,0.6896029178700672,74
mobile,0,0.0,0.041666666666666664,0.020833333333333332,0.624429377661635,1.1049149620481802,146
mobile,1,0.041666666666666664,0.08333333333333333,0.0625,0.0,0.0,0
mobile,2,0.08333333333333333,0.125,0.10416666666666666,0.0,0.0,0
mobile,3,0.125,0.16666666666666666,0.14583333333333331,0.0,0.0,0
mobile,4,0.16666666666666666,0.20833333333333331,0.1875,0.0,0.0,0
mobile,5,0.20833333333333331,0.25,0.22916666666666666,0.0,0.0,0
mobile,6,0.25,0.29166666666666663,0.2708333333333333,0.0,0.0,0
mobile,7,0.29166666666666663,0.3333333333333333,0.3125,0.0,0.0,0
mobile,8,0.3333333333333333,0.375,0.35416666666666663,0.0,0.0,0
mobile,9,0.375,0.41666666666666663,0.3958333333333333,0.0,0.0,0
mobile,10,0.41666666666666663,0.4583333333333333,0.4375,0.0,0.0,0
mobile,11,0.4583333333333333,0.5,0.47916666666666663,0.0,0.0,0
mobile,12,0.5,0.5416666666666666,0.5208333333333333,0.0,0.0,0
mobile,13,0.5416666666666666,0.5833333333333333,0.5625,0.0,0.0,0
mobile,14,0.5833333333333333,0.625,0.6041666666666666,0.0,0.0,0
mobile,15,0.625,0.6666666666666666,0.6458333333333333,0.0,0.0,0
mobile,16,0.6666666666666666,0.7083333333333333,0.6875,0.0,0.0,0
mobile,17,0.7083333333333333,0.75,0.7291666666666666,0.0,0.0,0
mobile,18,0.75,0.7916666666666666,0.7708333333333333,0.0,0.0,0
mobile,19,0.7916666666666666,0.8333333333333333,0.8125,0.0,0.0,0
mobile,20,0.8333333333333333,0.875,0.8541666666666666,0.0,0.0,0
mobile,21,0.875,0.9166666666666666,0.8958333333333333,0.0,0.0,0
mobile,22,0.9166666666666666,0.9583333333333333,0.9375,0.004301786723039944,0.060836451261596,1
mobile,23,0.9583333333333333,1.0,0.9791666666666666,1.009245882248204,1.7697976709411878,236
