MO,PYR4_fraction,PYR5_fraction,WATER_fraction
314a,0.000000,0.989161,0.010839
315a,0.995615,0.000000,0.004385
316a,0.000000,0.986427,0.013573
317a,0.998440,0.000000,0.001560
