MO,PYR4_fraction,PYR5_fraction,WATER_fraction
314a,0.000000,0.000002,0.999998
315a,0.000002,0.000000,0.999998
316a,0.000000,0.000002,0.999998
317a,0.000002,0.000000,0.999998
