label,frame,timestep,time_from_first_frame_fs,n_water,n_sites,minimum_water_site_distance_A,mean_water_site_distance_A,n_contact_le_3.5A,fraction_contact_le_3.5A,n_contact_le_4.5A,fraction_contact_le_4.5A,n_contact_le_6A,fraction_contact_le_6A
day008_hybrid_fieldZ_replica01_0_to_10k,1,0,0.0,29987,24,4.1567809973584176,37.977796208926534,0,0.0,2,6.669556807950112e-05,13,0.0004335211925167573
day008_hybrid_fieldZ_replica01_0_to_10k,2,1000,50.0,29987,24,3.9725161359017793,37.984152329284136,0,0.0,1,3.334778403975056e-05,12,0.0004001734084770067
day008_hybrid_fieldZ_replica01_0_to_10k,3,2000,100.0,29987,24,3.908564017641267,37.990965919119624,0,0.0,3,0.00010004335211925168,14,0.0004668689765565078
day008_hybrid_fieldZ_replica01_0_to_10k,4,3000,150.0,29987,24,3.986313129948529,37.99922355620961,0,0.0,3,0.00010004335211925168,14,0.0004668689765565078
day008_hybrid_fieldZ_replica01_0_to_10k,5,4000,200.0,29987,24,4.026787888627861,38.00744344523516,0,0.0,2,6.669556807950112e-05,15,0.0005002167605962583
day008_hybrid_fieldZ_replica01_0_to_10k,6,5000,250.0,29987,24,4.265122127208085,38.01458189980886,0,0.0,1,3.334778403975056e-05,14,0.0004668689765565078
day008_hybrid_fieldZ_replica01_0_to_10k,7,6000,300.0,29987,24,4.613084524480338,38.02177027629674,0,0.0,0,0.0,12,0.0004001734084770067
day008_hybrid_fieldZ_replica01_0_to_10k,8,7000,350.0,29987,24,4.599301949209248,38.02942777640343,0,0.0,0,0.0,11,0.0003668256244372561
day008_hybrid_fieldZ_replica01_0_to_10k,9,8000,400.0,29987,24,4.418896392765959,38.03620521654695,0,0.0,1,3.334778403975056e-05,11,0.0003668256244372561
day008_hybrid_fieldZ_replica01_0_to_10k,10,9000,450.0,29987,24,4.0742498217463305,38.04123039223817,0,0.0,2,6.669556807950112e-05,10,0.0003334778403975056
day008_hybrid_fieldZ_replica01_0_to_10k,11,10000,500.0,29987,24,3.707682350202081,38.0467329111231,0,0.0,3,0.00010004335211925168,11,0.0003668256244372561
