temperature_K,kappa_ref_ps_inv,gamma_phi_ps_inv,n_final_population_samples,mean_final_PYR5_population,sd_final_PYR5_population,n_stationary_samples,mean_stationary_PYR5_population,sd_stationary_PYR5_population,gateway_frame_count,PYR4_gateway_fraction,PYR4_gateway_bootstrap95_lower,PYR4_gateway_bootstrap95_upper,gateway_bootstrap_replicates
150.0,0.1,0.0,63,0.0001603916351143458,0.00016991358494787404,21,0.9999772855181392,2.453039309182712e-06,21,0.9062695769150022,0.8691614554757328,0.9318525387059117,5000
150.0,0.1,1.0,63,0.0016572088678018287,0.0011074315271632652,21,0.2647718344785274,0.006813921229212047,21,0.9119625836147153,0.8769218353931916,0.9350960029099367,5000
150.0,0.1,20.0,63,0.02845882179157368,0.0041583042886302775,21,0.25046950985405964,0.0021753221051547212,21,0.9141167010209631,0.880793228748264,0.9369651526259247,5000
150.0,0.1,100.0,63,0.10713071821766963,0.016040481813318044,21,0.24890255370216738,0.005800392659000163,21,0.9115246057775065,0.8761321410047329,0.9350666949892257,5000
150.0,1.0,0.0,63,0.0013452871280939106,0.001069440654217098,21,0.9999772855181392,2.453039309182712e-06,21,0.8822807086183798,0.8403666958890919,0.9145845630910038,5000
150.0,1.0,1.0,63,0.002798201863999889,0.0015943329616494887,21,0.36881321232733294,0.04526983112411718,21,0.8947715057320003,0.8576789117722676,0.9228705918438004,5000
150.0,1.0,20.0,63,0.02926456545511802,0.00435535986579417,21,0.25556435454922377,0.010192832807770266,21,0.9104171780137816,0.8760351410188957,0.9342738663529931,5000
150.0,1.0,100.0,63,0.10576586108911049,0.016237514337884236,21,0.24492799913819552,0.019414250426773243,21,0.905817117588255,0.8713701841454802,0.9314612668780189,5000
150.0,10.0,0.0,63,0.01148379960188672,0.006807956139283839,21,0.9999772855181392,2.453039309182712e-06,21,0.8429957418514662,0.7837545926521593,0.8948653894942596,5000
150.0,10.0,1.0,63,0.013029483933956483,0.00668346494931352,21,0.7079403266177717,0.08437509200905191,21,0.853009476724835,0.8006321679994788,0.8988308020912033,5000
150.0,10.0,20.0,63,0.03831016397538771,0.008320505251691812,21,0.308847859219812,0.03836954597177594,21,0.8904755119828532,0.8545365799032512,0.920450262489458,5000
150.0,10.0,100.0,63,0.10518550062316788,0.024309743243527762,21,0.24111670828008944,0.042199718136459355,21,0.8842345319926908,0.8440124152944621,0.9158357343454534,5000
300.0,0.1,0.0,63,0.0001611652957592181,0.0001594060423445193,21,0.9999506429580106,2.0793187755100495e-05,21,0.9085327153807948,0.8732519913117385,0.9333663691619826,5000
300.0,0.1,1.0,63,0.0016575551488747645,0.0010813341617400543,21,0.26494661353130605,0.0062107688575222765,21,0.9121622356182447,0.8785684140951725,0.9356605686340372,5000
300.0,0.1,20.0,63,0.02846153619956233,0.004126187387625445,21,0.2504838724305423,0.0017628163119640234,21,0.9141335159086976,0.8807994508491798,0.9363967556629235,5000
300.0,0.1,100.0,63,0.10735321296826533,0.015372635727691316,21,0.24915447271648772,0.004452085929718206,21,0.911807871185836,0.875677325517802,0.9347370151063901,5000
300.0,1.0,0.0,63,0.0013982142752882707,0.0008909272439779481,21,0.9999506429580106,2.0793187755100495e-05,21,0.893748932860107,0.8567903277954672,0.9210030383155011,5000
300.0,1.0,1.0,63,0.002848870572564847,0.0014033974348271162,21,0.3777390152418211,0.03384464042408778,21,0.8999569675259071,0.8638066200031205,0.9259510028129069,5000
300.0,1.0,20.0,63,0.02933103221238318,0.004158869497868518,21,0.2560793400393508,0.00765165106119916,21,0.910948920825073,0.8758155333179592,0.9344036445300925,5000
300.0,1.0,100.0,63,0.10663004405426087,0.01376556675469444,21,0.24653322653055837,0.01280831477331044,21,0.9076335397360407,0.8726514258264614,0.9314005622845322,5000
300.0,10.0,0.0,63,0.012999785137305849,0.004562201333063087,21,0.9999506429580106,2.0793187755100495e-05,21,0.8790118205474848,0.838689722406882,0.9137639148661978,5000
300.0,10.0,1.0,63,0.014408325097405297,0.004662798579267366,21,0.7499920755648626,0.046540055732872974,21,0.8817840318983853,0.8409101179548417,0.9144029841638676,5000
300.0,10.0,20.0,63,0.03936657024535409,0.006857808864025193,21,0.3158841765709007,0.027196977436764892,21,0.8975368478442954,0.8613338565834848,0.9238120775736586,5000
300.0,10.0,100.0,63,0.11010714987919745,0.017418384230138077,21,0.25112725699685573,0.026742211444007954,21,0.8950156361523605,0.8591595339579657,0.9214103661634425,5000
