fragment,atom_1,element_1,role_1,atom_2,element_2,role_2,distance_angstrom,vdw_sum_angstrom,distance_over_vdw_sum,classification,involves_artificial_cap,involves_existing_hydrogen,requires_geometry_repair
QM_F06_UPPER_CAPPED,BR4:UPPER:00:1,N,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0116:0,H,ORIGINAL_FRAGMENT_ATOM,2.5103294331,2.7500000000,0.9128470666,ACCEPTABLE,False,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:1,N,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:01,H,ARTIFICIAL_BOUNDARY_CAP,2.5880547162,2.7500000000,0.9411108059,ACCEPTABLE,True,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:1,N,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,2.0253681246,2.7500000000,0.7364974998,STRONG_COMPRESSION,True,False,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:1,N,ORIGINAL_FRAGMENT_ATOM,P:1641,N,ORIGINAL_FRAGMENT_ATOM,1.7618621481,3.1000000000,0.5683426284,SEVERE_CLASH,False,False,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:1,N,ORIGINAL_FRAGMENT_ATOM,P:1643,N,ORIGINAL_FRAGMENT_ATOM,2.6249984680,3.1000000000,0.8467736994,CLOSE_CONTACT,False,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,2.4668503927,3.8400000000,0.6424089564,SEVERE_CLASH,False,False,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,2.8825355688,3.1200000000,0.9238896054,ACCEPTABLE,False,True,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0114:0,H,ORIGINAL_FRAGMENT_ATOM,2.1958019978,3.1200000000,0.7037826916,STRONG_COMPRESSION,False,False,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0116:0,H,ORIGINAL_FRAGMENT_ATOM,1.8146061051,3.1200000000,0.5816045209,SEVERE_CLASH,False,False,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0117:0,H,ORIGINAL_FRAGMENT_ATOM,2.8886950275,3.1200000000,0.9258637909,ACCEPTABLE,False,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,1.9057718182,3.1200000000,0.6108243007,SEVERE_CLASH,True,False,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:07,H,ARTIFICIAL_BOUNDARY_CAP,2.5309274231,3.1200000000,0.8111946869,CLOSE_CONTACT,True,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,P:1641,N,ORIGINAL_FRAGMENT_ATOM,2.3511795398,3.4700000000,0.6775733544,SEVERE_CLASH,False,False,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,S:1710,B,ORIGINAL_FRAGMENT_ATOM,2.4503985809,3.8400000000,0.6381246305,SEVERE_CLASH,False,False,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:3,N,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0115:0,H,ORIGINAL_FRAGMENT_ATOM,2.2918062442,2.7500000000,0.8333840888,CLOSE_CONTACT,False,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:3,N,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0117:0,H,ORIGINAL_FRAGMENT_ATOM,2.0503606625,2.7500000000,0.7455856954,STRONG_COMPRESSION,False,False,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:3,N,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,2.0423770174,2.7500000000,0.7426825518,STRONG_COMPRESSION,True,False,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:3,N,ORIGINAL_FRAGMENT_ATOM,P:1641,N,ORIGINAL_FRAGMENT_ATOM,2.8456959467,3.1000000000,0.9179664344,ACCEPTABLE,False,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,2.2993510088,3.1200000000,0.7369714772,STRONG_COMPRESSION,False,True,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0115:0,H,ORIGINAL_FRAGMENT_ATOM,2.8567356206,3.1200000000,0.9156203912,ACCEPTABLE,False,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0116:0,H,ORIGINAL_FRAGMENT_ATOM,2.3260242352,3.1200000000,0.7455205882,STRONG_COMPRESSION,False,False,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,2.9295798264,3.1200000000,0.9389678931,ACCEPTABLE,True,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:07,H,ARTIFICIAL_BOUNDARY_CAP,2.8875224520,3.1200000000,0.9254879654,ACCEPTABLE,True,False,False
QM_F06_UPPER_CAPPED,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,HCAP:UPPER:05,H,ARTIFICIAL_BOUNDARY_CAP,2.3944076725,2.4000000000,0.9976698636,ACCEPTABLE,True,True,False
