fragment,cap_id,source_edge_id,parent_inside_node,parent_element,removed_outside_node,removed_outside_element,original_BN_distance_angstrom,target_XH_distance_angstrom,placement_rule,geometry_optimized,capping_method_status
QM_F06_UPPER,HCAP:UPPER:01,E:2441,P:1641,N,P:1640,B,1.45000000,1.01000000,ALONG_ORIGINAL_INSIDE_TO_OUTSIDE_BOND_VECTOR,False,GEOMETRIC_INITIAL_GUESS_REQUIRES_QM_VALIDATION
QM_F06_UPPER,HCAP:UPPER:02,E:2442,P:1643,N,P:1642,B,1.45000000,1.01000000,ALONG_ORIGINAL_INSIDE_TO_OUTSIDE_BOND_VECTOR,False,GEOMETRIC_INITIAL_GUESS_REQUIRES_QM_VALIDATION
QM_F06_UPPER,HCAP:UPPER:03,E:2523,P:1643,N,S:1711,B,1.44973000,1.01000000,ALONG_ORIGINAL_INSIDE_TO_OUTSIDE_BOND_VECTOR,False,GEOMETRIC_INITIAL_GUESS_REQUIRES_QM_VALIDATION
QM_F06_UPPER,HCAP:UPPER:04,E:2580,P:1641,N,S:1739,B,1.44973000,1.01000000,ALONG_ORIGINAL_INSIDE_TO_OUTSIDE_BOND_VECTOR,False,GEOMETRIC_INITIAL_GUESS_REQUIRES_QM_VALIDATION
QM_F06_UPPER,HCAP:UPPER:05,E:2899,A:UPPER:11:5,B,A:UPPER:10:4,N,1.44973000,1.19000000,ALONG_ORIGINAL_INSIDE_TO_OUTSIDE_BOND_VECTOR,False,GEOMETRIC_INITIAL_GUESS_REQUIRES_QM_VALIDATION
QM_F06_UPPER,HCAP:UPPER:06,E:2900,A:UPPER:11:5,B,A:UPPER:10:6,N,1.44973000,1.19000000,ALONG_ORIGINAL_INSIDE_TO_OUTSIDE_BOND_VECTOR,False,GEOMETRIC_INITIAL_GUESS_REQUIRES_QM_VALIDATION
QM_F06_UPPER,HCAP:UPPER:07,E:2915,A:UPPER:14:4,B,A:UPPER:13:3,N,1.44973000,1.19000000,ALONG_ORIGINAL_INSIDE_TO_OUTSIDE_BOND_VECTOR,False,GEOMETRIC_INITIAL_GUESS_REQUIRES_QM_VALIDATION
