fragment,atom_1,element_1,role_1,atom_2,element_2,role_2,graph_separation,distance_angstrom,vdw_sum_angstrom,distance_over_vdw_sum,classification,involves_artificial_cap,requires_geometry_repair
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:1,N,ORIGINAL_FRAGMENT_ATOM,5,3.1604037288,3.4700000000,0.9107791726,ACCEPTABLE,False,False
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,4,1.9870114575,3.8400000000,0.5174509004,SEVERE_CLASH,False,True
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0115:0,H,ORIGINAL_FRAGMENT_ATOM,5,2.2768211239,3.1200000000,0.7297503602,STRONG_COMPRESSION,False,True
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0116:0,H,ORIGINAL_FRAGMENT_ATOM,4,2.9831484056,3.1200000000,0.9561373095,ACCEPTABLE,False,False
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,8,2.2514128264,3.1200000000,0.7216066751,STRONG_COMPRESSION,True,True
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,P:1641,N,ORIGINAL_FRAGMENT_ATOM,7,3.0939843701,3.4700000000,0.8916381470,CLOSE_CONTACT,False,False
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,S:1710,B,ORIGINAL_FRAGMENT_ATOM,6,3.4499851380,3.8400000000,0.8984336297,CLOSE_CONTACT,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,5,2.8825355688,3.1200000000,0.9238896054,ACCEPTABLE,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,4,1.9057718182,3.1200000000,0.6108243007,SEVERE_CLASH,True,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:07,H,ARTIFICIAL_BOUNDARY_CAP,5,2.5309274231,3.1200000000,0.8111946869,CLOSE_CONTACT,True,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:3,N,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,5,2.0423770174,2.7500000000,0.7426825518,STRONG_COMPRESSION,True,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:3,N,ORIGINAL_FRAGMENT_ATOM,P:1641,N,ORIGINAL_FRAGMENT_ATOM,4,2.8456959467,3.1000000000,0.9179664344,ACCEPTABLE,False,False
QM_F06_UPPER_CAPPED,BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,6,2.9295798264,3.1200000000,0.9389678931,ACCEPTABLE,True,False
QM_F06_UPPER_CAPPED,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,HCAP:UPPER:05,H,ARTIFICIAL_BOUNDARY_CAP,4,2.3944076725,2.4000000000,0.9976698636,ACCEPTABLE,True,False
