atom_id,element,atom_role,node_type,source_edge_id,parent_inside_node,x_angstrom,y_angstrom,z_angstrom,artificial_cap
A:UPPER:11:5,B,ORIGINAL_FRAGMENT_ATOM,ANNULUS_INTERIOR,,,35.5235640313,26.9293149372,82.6790230187,False
A:UPPER:13:5,N,ORIGINAL_FRAGMENT_ATOM,ANNULUS_OUTER_BOUNDARY,,,36.2484241185,25.6738090921,82.6790230187,False
A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,ANNULUS_OUTER_BOUNDARY,,,37.6981541185,25.6738034194,82.6790230187,False
BR4:UPPER:00:1,N,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,,,40.2876829306,24.3388272577,81.4541430620,False
BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,,,39.1299095463,24.3419748281,82.3261441010,False
BR4:UPPER:00:3,N,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,,,37.8317382253,23.7871792668,81.9975246067,False
BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,,,36.6991608603,24.2975685169,82.7442825530,False
H4:UPPER:0114:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,,,40.9547431642,23.5854294039,81.3674117600,False
H4:UPPER:0115:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,,,39.4590007469,24.4621584068,83.4634017187,False
H4:UPPER:0116:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,,,38.2229620124,22.9241973565,81.6478016150,False
H4:UPPER:0117:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,,,36.7026396578,23.5844568885,83.6969418328,False
P:1641,N,ORIGINAL_FRAGMENT_ATOM,PARENT_HBN,,,39.4700000000,25.2400000000,80.1800000000,False
P:1643,N,ORIGINAL_FRAGMENT_ATOM,PARENT_HBN,,,41.8500000000,26.0200000000,80.1800000000,False
S:1710,B,ORIGINAL_FRAGMENT_ATOM,HEXAGONAL_EDGE_COMPLETION_SEED,,,40.6600000000,25.6300000000,80.9104225304,False
HCAP:UPPER:01,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2441,P:1641,39.4700000000,25.2400000000,79.1700000000,True
HCAP:UPPER:02,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2442,P:1643,41.8500000000,26.0200000000,79.1700000000,True
HCAP:UPPER:03,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2523,P:1643,42.6058993744,26.4554259069,80.6890387170,True
HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2580,P:1641,38.7700380399,25.6271981896,79.5633714113,True
HCAP:UPPER:05,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2899,A:UPPER:11:5,36.1185680639,27.9598828394,82.6790230187,True
HCAP:UPPER:06,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2900,A:UPPER:11:5,34.3335640313,26.9293195936,82.6790230187,True
HCAP:UPPER:07,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2915,A:UPPER:14:4,38.2931581511,26.7043713217,82.6790230187,True
H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,ANNULUS_OUTER_PASSIVANT_H,E:3114,A:UPPER:14:4,37.4564517565,26.2513388568,83.6910174786,False
