fragment,candidate_charge,valence_electron_count,electron_parity,minimum_spin_multiplicity,recommended_initial_state
QM_F06_UPPER_CAPPED,-2,54,EVEN,1,False
QM_F06_UPPER_CAPPED,-1,53,ODD,2,False
QM_F06_UPPER_CAPPED,0,52,EVEN,1,True
QM_F06_UPPER_CAPPED,1,51,ODD,2,False
QM_F06_UPPER_CAPPED,2,50,EVEN,1,False
