fragment,atom_1,element_1,role_1,atom_2,element_2,role_2,distance_angstrom,vdw_sum_angstrom,distance_over_vdw_sum,classification,involves_artificial_cap,involves_existing_hydrogen,requires_geometry_repair
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,H4:LOWER:0055:0,H,ORIGINAL_FRAGMENT_ATOM,2.0926588719,3.1200000000,0.6707239974,SEVERE_CLASH,False,False,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,H4:LOWER:0056:0,H,ORIGINAL_FRAGMENT_ATOM,2.8646720801,3.1200000000,0.9181641282,ACCEPTABLE,False,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:02,H,ARTIFICIAL_BOUNDARY_CAP,2.9839580012,3.1200000000,0.9563967953,ACCEPTABLE,True,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,2.0628345326,3.1200000000,0.6611649143,SEVERE_CLASH,True,False,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,2.8523396439,3.1200000000,0.9142114243,ACCEPTABLE,True,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,P:46,B,ORIGINAL_FRAGMENT_ATOM,2.7461045012,3.8400000000,0.7151313805,STRONG_COMPRESSION,False,False,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,P:48,B,ORIGINAL_FRAGMENT_ATOM,1.8859995489,3.8400000000,0.4911457159,SEVERE_CLASH,False,False,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:2,N,ORIGINAL_FRAGMENT_ATOM,BR4:LOWER:00:4,N,ORIGINAL_FRAGMENT_ATOM,2.6053612929,3.1000000000,0.8404391267,CLOSE_CONTACT,False,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:2,N,ORIGINAL_FRAGMENT_ATOM,H4:LOWER:0054:0,H,ORIGINAL_FRAGMENT_ATOM,2.4443770369,2.7500000000,0.8888643771,CLOSE_CONTACT,False,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:2,N,ORIGINAL_FRAGMENT_ATOM,H4:LOWER:0056:0,H,ORIGINAL_FRAGMENT_ATOM,2.1355876894,2.7500000000,0.7765773416,STRONG_COMPRESSION,False,False,True
