fragment,edge_id,inside_node,inside_element,inside_node_type,inside_graph_degree,outside_node,outside_element,outside_node_type,outside_graph_degree,original_edge_type,original_distance_angstrom,touches_bridge_core,touches_attachment_center,preliminary_action,capping_authorized
QM_F06_LOWER,E:70,P:46,B,PARENT_HBN,3,P:47,N,PARENT_HBN,3,PARENT_BN,1.45000000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_LOWER,E:73,P:48,B,PARENT_HBN,3,P:49,N,PARENT_HBN,3,PARENT_BN,1.45000000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_LOWER,E:2463,P:48,B,PARENT_HBN,3,S:1681,N,HEXAGONAL_EDGE_COMPLETION_SEED,3,PARENT_TO_COMPLETION_SEED,1.44973000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_LOWER,E:2520,P:46,B,PARENT_HBN,3,S:1709,N,HEXAGONAL_EDGE_COMPLETION_SEED,3,PARENT_TO_COMPLETION_SEED,1.44973000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_LOWER,E:2721,A:LOWER:11:-5,N,ANNULUS_INTERIOR,3,A:LOWER:10:-6,B,ANNULUS_OUTER_BOUNDARY,3,ANNULUS_BN,1.44973000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_LOWER,E:2722,A:LOWER:11:-5,N,ANNULUS_INTERIOR,3,A:LOWER:10:-4,B,ANNULUS_INTERIOR,3,ANNULUS_BN,1.44973000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_LOWER,E:2740,A:LOWER:14:-4,N,ANNULUS_OUTER_BOUNDARY,3,A:LOWER:13:-3,B,ANNULUS_INTERIOR,3,ANNULUS_BN,1.44973000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_LOWER,E:3084,A:LOWER:14:-4,N,ANNULUS_OUTER_BOUNDARY,3,H4:LOWER:0017:0,H,ANNULUS_OUTER_PASSIVANT_H,1,ANNULUS_OUTER_PASSIVANT_H_BOND,1.01000000,False,False,INCLUDE_EXISTING_HYDROGEN,False
QM_F06_UPPER,E:2441,P:1641,N,PARENT_HBN,3,P:1640,B,PARENT_HBN,3,PARENT_BN,1.45000000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_UPPER,E:2442,P:1643,N,PARENT_HBN,3,P:1642,B,PARENT_HBN,3,PARENT_BN,1.45000000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_UPPER,E:2523,P:1643,N,PARENT_HBN,3,S:1711,B,HEXAGONAL_EDGE_COMPLETION_SEED,3,PARENT_TO_COMPLETION_SEED,1.44973000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_UPPER,E:2580,P:1641,N,PARENT_HBN,3,S:1739,B,HEXAGONAL_EDGE_COMPLETION_SEED,3,PARENT_TO_COMPLETION_SEED,1.44973000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_UPPER,E:2899,A:UPPER:11:5,B,ANNULUS_INTERIOR,3,A:UPPER:10:4,N,ANNULUS_INTERIOR,3,ANNULUS_BN,1.44973000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_UPPER,E:2900,A:UPPER:11:5,B,ANNULUS_INTERIOR,3,A:UPPER:10:6,N,ANNULUS_OUTER_BOUNDARY,3,ANNULUS_BN,1.44973000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_UPPER,E:2915,A:UPPER:14:4,B,ANNULUS_OUTER_BOUNDARY,3,A:UPPER:13:3,N,ANNULUS_INTERIOR,3,ANNULUS_BN,1.44973000,False,False,CANDIDATE_BN_CUT_FOR_HYDROGEN_CAPPING,False
QM_F06_UPPER,E:3114,A:UPPER:14:4,B,ANNULUS_OUTER_BOUNDARY,3,H4:UPPER:0047:0,H,ANNULUS_OUTER_PASSIVANT_H,1,ANNULUS_OUTER_PASSIVANT_H_BOND,1.19000000,False,False,INCLUDE_EXISTING_HYDROGEN,False
