fragment,atom_id,element,atom_role,node_type,observed_graph_degree,expected_graph_degree,degree_gate_pass,neighbors
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,ORIGINAL_FRAGMENT_ATOM,ANNULUS_INTERIOR,3,3,True,A:UPPER:13:5|HCAP:UPPER:05|HCAP:UPPER:06
QM_F06_UPPER_CAPPED,A:UPPER:13:5,N,ORIGINAL_FRAGMENT_ATOM,ANNULUS_OUTER_BOUNDARY,3,3,True,A:UPPER:11:5|A:UPPER:14:4|BR4:UPPER:00:4
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,ANNULUS_OUTER_BOUNDARY,3,3,True,A:UPPER:13:5|H4:UPPER:0047:0|HCAP:UPPER:07
QM_F06_UPPER_CAPPED,BR4:UPPER:00:1,N,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,3,3,True,BR4:UPPER:00:2|H4:UPPER:0114:0|S:1710
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,3,3,True,BR4:UPPER:00:1|BR4:UPPER:00:3|H4:UPPER:0115:0
QM_F06_UPPER_CAPPED,BR4:UPPER:00:3,N,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,3,3,True,BR4:UPPER:00:2|BR4:UPPER:00:4|H4:UPPER:0116:0
QM_F06_UPPER_CAPPED,BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,3,3,True,A:UPPER:13:5|BR4:UPPER:00:3|H4:UPPER:0117:0
QM_F06_UPPER_CAPPED,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,ANNULUS_OUTER_PASSIVANT_H,1,1,True,A:UPPER:14:4
QM_F06_UPPER_CAPPED,H4:UPPER:0114:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,1,1,True,BR4:UPPER:00:1
QM_F06_UPPER_CAPPED,H4:UPPER:0115:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,1,1,True,BR4:UPPER:00:2
QM_F06_UPPER_CAPPED,H4:UPPER:0116:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,1,1,True,BR4:UPPER:00:3
QM_F06_UPPER_CAPPED,H4:UPPER:0117:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,1,1,True,BR4:UPPER:00:4
QM_F06_UPPER_CAPPED,HCAP:UPPER:01,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,P:1641
QM_F06_UPPER_CAPPED,HCAP:UPPER:02,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,P:1643
QM_F06_UPPER_CAPPED,HCAP:UPPER:03,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,P:1643
QM_F06_UPPER_CAPPED,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,P:1641
QM_F06_UPPER_CAPPED,HCAP:UPPER:05,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,A:UPPER:11:5
QM_F06_UPPER_CAPPED,HCAP:UPPER:06,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,A:UPPER:11:5
QM_F06_UPPER_CAPPED,HCAP:UPPER:07,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,A:UPPER:14:4
QM_F06_UPPER_CAPPED,P:1641,N,ORIGINAL_FRAGMENT_ATOM,PARENT_HBN,3,3,True,HCAP:UPPER:01|HCAP:UPPER:04|S:1710
QM_F06_UPPER_CAPPED,P:1643,N,ORIGINAL_FRAGMENT_ATOM,PARENT_HBN,3,3,True,HCAP:UPPER:02|HCAP:UPPER:03|S:1710
QM_F06_UPPER_CAPPED,S:1710,B,ORIGINAL_FRAGMENT_ATOM,HEXAGONAL_EDGE_COMPLETION_SEED,3,3,True,BR4:UPPER:00:1|P:1641|P:1643
