fragment,atom_1,element_1,role_1,atom_2,element_2,role_2,graph_separation,distance_angstrom,vdw_sum_angstrom,distance_over_vdw_sum,classification,involves_artificial_cap,contact_origin,blocks_qm_input_preparation
QM_F06_UPPER_CAPPED_REPAIRED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:1,N,ORIGINAL_FRAGMENT_ATOM,5,3.1604037288,3.4700000000,0.9107791726,ACCEPTABLE,False,INHERITED_FROM_R2_GEOMETRY,False
QM_F06_UPPER_CAPPED_REPAIRED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,4,1.9870114575,3.8400000000,0.5174509004,SEVERE_CLASH,False,INHERITED_FROM_R2_GEOMETRY,False
QM_F06_UPPER_CAPPED_REPAIRED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0115:0,H,ORIGINAL_FRAGMENT_ATOM,5,2.2768211239,3.1200000000,0.7297503602,STRONG_COMPRESSION,False,INHERITED_FROM_R2_GEOMETRY,False
QM_F06_UPPER_CAPPED_REPAIRED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0116:0,H,ORIGINAL_FRAGMENT_ATOM,4,2.9831484056,3.1200000000,0.9561373095,ACCEPTABLE,False,INHERITED_FROM_R2_GEOMETRY,False
QM_F06_UPPER_CAPPED_REPAIRED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,P:1641,N,ORIGINAL_FRAGMENT_ATOM,7,3.0939843701,3.4700000000,0.8916381470,CLOSE_CONTACT,False,INHERITED_FROM_R2_GEOMETRY,False
QM_F06_UPPER_CAPPED_REPAIRED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,S:1710,B,ORIGINAL_FRAGMENT_ATOM,6,3.4499851380,3.8400000000,0.8984336297,CLOSE_CONTACT,False,INHERITED_FROM_R2_GEOMETRY,False
QM_F06_UPPER_CAPPED_REPAIRED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,5,2.8825355688,3.1200000000,0.9238896054,ACCEPTABLE,False,INHERITED_FROM_R2_GEOMETRY,False
QM_F06_UPPER_CAPPED_REPAIRED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,4,3.0682600159,3.1200000000,0.9834166718,ACCEPTABLE,True,CAP_INTRODUCED_OR_CAP_INVOLVING,False
QM_F06_UPPER_CAPPED_REPAIRED,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:07,H,ARTIFICIAL_BOUNDARY_CAP,5,2.5309274231,3.1200000000,0.8111946869,CLOSE_CONTACT,True,CAP_INTRODUCED_OR_CAP_INVOLVING,False
QM_F06_UPPER_CAPPED_REPAIRED,BR4:UPPER:00:3,N,ORIGINAL_FRAGMENT_ATOM,P:1641,N,ORIGINAL_FRAGMENT_ATOM,4,2.8456959467,3.1000000000,0.9179664344,ACCEPTABLE,False,INHERITED_FROM_R2_GEOMETRY,False
QM_F06_UPPER_CAPPED_REPAIRED,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,HCAP:UPPER:05,H,ARTIFICIAL_BOUNDARY_CAP,4,2.3944076725,2.4000000000,0.9976698636,ACCEPTABLE,True,CAP_INTRODUCED_OR_CAP_INVOLVING,False
