node_id,element,node_type,end,bridge_path_id,bridge_index,bridge_position,is_bridge_atom,is_attachment_center,x_nm,y_nm,z_nm,coordinate_source,energy_minimized,MD_relaxed
A:UPPER:11:5,B,ANNULUS_INTERIOR,UPPER,,,,False,False,3.5523564031261126,2.6929314937150006,8.267902301872374,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:UPPER:13:5,N,ANNULUS_OUTER_BOUNDARY,UPPER,,,,False,True,3.6248424118495164,2.567380909214766,8.267902301872374,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:UPPER:14:4,B,ANNULUS_OUTER_BOUNDARY,UPPER,,,,False,False,3.7698154118484064,2.5673803419380565,8.267902301872374,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
BR4:UPPER:00:1,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,UPPER,UPPER:BRIDGE4:00,0,1,True,False,4.028768293061965,2.433882725770298,8.145414306197841,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
BR4:UPPER:00:2,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,UPPER,UPPER:BRIDGE4:00,0,2,True,False,3.912990954627823,2.4341974828136954,8.232614410096716,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
BR4:UPPER:00:3,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,UPPER,UPPER:BRIDGE4:00,0,3,True,False,3.783173822531843,2.378717926678846,8.199752460673812,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
BR4:UPPER:00:4,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,UPPER,UPPER:BRIDGE4:00,0,4,True,False,3.6699160860267317,2.4297568516920793,8.27442825530091,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
H4:UPPER:0114:0,H,BRIDGE_PASSIVANT_H,UPPER,,,,False,False,4.095474316415632,2.3585429403911267,8.136741176003936,GATE3P_HYDROGEN_ORIENTATION_SEARCH,False,False
H4:UPPER:0115:0,H,BRIDGE_PASSIVANT_H,UPPER,,,,False,False,3.945900074691974,2.4462158406793755,8.346340171869569,GATE3P_HYDROGEN_ORIENTATION_SEARCH,False,False
H4:UPPER:0116:0,H,BRIDGE_PASSIVANT_H,UPPER,,,,False,False,3.8222962012443378,2.292419735650807,8.164780161504837,GATE3P_HYDROGEN_ORIENTATION_SEARCH,False,False
H4:UPPER:0117:0,H,BRIDGE_PASSIVANT_H,UPPER,,,,False,False,3.670263965783308,2.358445688847851,8.36969418327875,GATE3P_HYDROGEN_ORIENTATION_SEARCH,False,False
P:1641,N,PARENT_HBN,PARENT,,,,False,False,3.947,2.524,8.018,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
P:1643,N,PARENT_HBN,PARENT,,,,False,False,4.185,2.602,8.018,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
S:1710,B,HEXAGONAL_EDGE_COMPLETION_SEED,UPPER,,,,False,True,4.066,2.5629999999999997,8.09104225303891,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
