metric,distance_nm,atom_a,atom_b
min_OW_HBN,0.27959,41761:SOL:OW,760:HBN:N0760
min_OW_PYR,0.25061,26505:SOL:OW,1782:PYR:H7
min_WATERATOM_HBN,0.21706,42566:SOL:HW1,1234:HBN:N1234
min_WATERATOM_PYR,0.21311,26506:SOL:HW1,1782:PYR:H7
min_WATERATOM_SOLUTE,0.21311,26506:SOL:HW1,1782:PYR:H7
