frame,time_ps,site,alternate_energy_eV,bright_energy_eV,common_mode_energy_eV,signed_bright_minus_alternate_gap_meV,common_mode_fluctuation_meV,gap_fluctuation_meV
2,10.0,PYR5,3.847,3.779,3.8129999999999997,-68.00000000000006,0.6190476190472971,2.857142857142794
3,15.0,PYR5,3.852,3.75,3.801,-101.99999999999987,-11.38095238095227,-31.142857142857014
4,20.0,PYR5,3.815,3.761,3.7880000000000003,-53.99999999999983,-24.38095238095217,16.857142857143028
5,25.0,PYR5,3.871,3.797,3.834,-73.99999999999984,21.61904761904765,-3.142857142856989
6,30.0,PYR5,3.845,3.776,3.8105,-69.0000000000004,-1.8809523809522055,1.8571428571424602
7,35.0,PYR5,3.859,3.79,3.8245,-68.99999999999994,12.119047619047585,1.8571428571429043
8,40.0,PYR5,3.871,3.793,3.832,-77.99999999999984,19.619047619047425,-7.142857142856992
9,45.0,PYR5,3.84,3.75,3.795,-89.99999999999986,-17.380952380952497,-19.142857142857004
10,50.0,PYR5,3.859,3.791,3.825,-68.00000000000006,12.619047619047752,2.857142857142794
11,55.0,PYR5,3.854,3.787,3.8205,-67.00000000000017,8.119047619047581,3.857142857142684
12,60.0,PYR5,3.87,3.797,3.8335,-72.99999999999996,21.119047619047482,-2.1428571428570993
13,65.0,PYR5,3.836,3.783,3.8095,-52.999999999999936,-2.8809523809525395,17.857142857142918
14,70.0,PYR5,3.843,3.785,3.814,-57.99999999999983,1.619047619047631,12.857142857143025
15,75.0,PYR5,3.861,3.797,3.829,-64.00000000000006,16.619047619047755,6.857142857142798
16,80.0,PYR5,3.848,3.787,3.8175,-60.99999999999994,5.119047619047468,9.857142857142911
17,85.0,PYR5,3.815,3.756,3.7855,-59.00000000000016,-26.88095238095256,11.85714285714269
18,90.0,PYR5,3.835,3.753,3.794,-81.99999999999986,-18.380952380952387,-11.142857142856997
19,95.0,PYR5,3.851,3.781,3.816,-69.99999999999984,3.619047619047411,0.8571428571430145
20,100.0,PYR5,3.848,3.768,3.808,-80.00000000000007,-4.380952380952596,-9.142857142857217
