state_index,state_label,site,family,root,n_frames,mean_energy_eV,sd_energy_meV,minimum_energy_eV,maximum_energy_eV,energy_range_meV,minimum_deltaE_meV,maximum_deltaE_meV,mean_fosc,sd_fosc,minimum_fosc,maximum_fosc
0,PYR2_alternate,PYR2,alternate_like,1,21,4.006142857142858,8.06099198838045,3.992,4.019,27.000000000000135,-14.142857142857679,12.857142857142456,0.011172782952380953,0.012381927942665398,0.001619329,0.058605874
1,PYR2_bright,PYR2,bright_like,2,21,4.088571428571429,10.81696827771486,4.068,4.104,36.000000000000476,-20.57142857142935,15.428571428571125,0.4932895682380953,0.017799649236096504,0.424630393,0.50924132
2,PYR3_alternate,PYR3,alternate_like,1,21,4.0031904761904755,13.037013416456327,3.969,4.019,50.00000000000027,-34.190476190475664,15.809523809524606,0.009892992190476192,0.007537886393078522,0.001832472,0.034273552
3,PYR3_bright,PYR3,bright_like,2,21,4.078047619047619,11.614753304787257,4.052,4.096,44.00000000000048,-26.047619047618653,17.95238095238183,0.5017784603809525,0.010136844990858221,0.471984456,0.518861417
4,PYR4_alternate,PYR4,alternate_like,1,21,4.019238095238096,11.819696079827922,3.978,4.035,56.99999999999994,-41.238095238095966,15.761904761903978,0.008601723761904762,0.006121041775439334,0.00075086,0.025502917
5,PYR4_bright,PYR4,bright_like,2,21,4.090619047619047,7.403192300340986,4.069,4.104,35.00000000000014,-21.61904761904765,13.380952380952493,0.5108589268571428,0.006407267824974321,0.498507322,0.522246322
6,PYR5_alternate,PYR5,alternate_like,2,21,3.847809523809523,14.949499267355822,3.815,3.871,56.00000000000005,-32.80952380952318,23.190476190476872,0.01862386785714286,0.011536866671446638,0.003925759,0.048610659
7,PYR5_bright,PYR5,bright_like,1,21,3.7769523809523817,16.034118950586077,3.75,3.797,47.000000000000156,-26.952380952381283,20.04761904761887,0.6480894363333334,0.014935882045226516,0.61541292,0.670424221
