cluster,n_frames,mean_S1_eV,std_S1_eV,min_S1_eV,max_S1_eV,mean_f1,std_f1,min_S2_minus_S1_meV,mean_S2_minus_S1_meV,mean_point_charges,min_point_charges,max_point_charges,maximum_observed_step_meV
PYR2,21,4.006142857142858,0.008260058802972968,3.992,4.019,0.011172782952380953,0.012687700601615172,61.99999999999939,82.42857142857132,163.42857142857142,100,192,27.000000000000135
PYR3,21,4.0031904761904755,0.013358963461358253,3.969,4.019,0.00989299219047619,0.007724035074927241,55.000000000000604,74.85714285714295,166.66666666666666,76,192,50.00000000000027
PYR4,21,4.019238095238095,0.012111584379860197,3.978,4.035,0.008601723761904762,0.006272201370930879,55.000000000000604,71.38095238095246,159.8095238095238,88,192,52.99999999999949
PYR5,21,3.7769523809523813,0.016430082746219557,3.75,3.797,0.6480894363333333,0.015304724796361616,52.999999999999936,70.85714285714286,175.8095238095238,120,200,43.00000000000015
