cluster,n,pearson_S1_vs_point_charges,pearson_S1_vs_f1,pearson_S1_vs_S2_minus_S1
PYR2,21,0.06161663225682498,-0.015357552814167596,-0.19592956511055604
PYR3,21,-0.15314633855938006,0.143169430245828,-0.5448015094523752
PYR4,21,0.11215643223289165,0.0768817278899004,-0.7852165379874201
PYR5,21,-0.10362430539137293,0.13177372832694093,-0.4543126736145255
