temperature_K,kappa_ref_ps_inv,gamma_phi_ps_inv,frame,snapshot_time_ps,steady_PYR2_population,steady_PYR3_population,steady_PYR4_population,steady_PYR5_population,Gibbs_PYR5_population,steady_l1_distance_to_Gibbs,stationary_residual,minimum_stationary_density_eigenvalue
150.0,0.1,0.0,0,0.0,7.866357801056987e-08,9.229225029383238e-07,2.2016145410707327e-05,0.9999769822685084,0.9999769822685084,0.0,4.3078419656747774e-14,3.5158373946083026e-11
150.0,0.1,0.0,1,5.0,5.749387805947512e-08,8.301258164467088e-07,2.009243161455018e-05,0.999979019948691,0.999979019948691,0.0,6.561616419141047e-14,6.443352929452993e-12
150.0,0.1,0.0,2,10.0,7.81522993685519e-08,8.542004587020603e-07,2.033591521639753e-05,0.9999787317320254,0.9999787317320254,0.0,5.753878997217302e-14,2.5696720278436483e-11
150.0,0.1,0.0,3,15.0,6.351777563698683e-08,7.741994921642434e-07,1.5935887878756464e-05,0.9999832263948534,0.9999832263948534,0.0,5.957196532151295e-14,1.27116389667465e-12
150.0,0.1,0.0,4,20.0,6.155096358249854e-08,7.691788245880577e-07,2.030398381366635e-05,0.9999788652863981,0.9999788652863981,0.0,1.0234229834717363e-13,3.698258636781692e-12
150.0,0.1,0.0,5,25.0,8.841307283670594e-08,1.2803106113839697e-06,2.3483898138025965e-05,0.9999751473781777,0.9999751473781777,0.0,1.842247319456739e-14,1.53961600980985e-10
150.0,0.1,0.0,6,30.0,7.477057627300757e-08,8.061468303420423e-07,2.0817600810523312e-05,0.9999783014817829,0.9999783014817829,0.0,2.514479193266942e-14,1.716876422469838e-11
150.0,0.1,0.0,7,35.0,7.367715826806713e-08,1.0466790149170622e-06,2.327324390702286e-05,0.9999756063999199,0.9999756063999199,0.0,1.8680662830592136e-14,3.032869661584324e-11
150.0,0.1,0.0,8,40.0,8.551106213814107e-08,1.0453347698030997e-06,2.325698164664876e-05,0.9999756121725214,0.9999756121725214,0.0,1.846581874177968e-14,8.932170018930627e-11
150.0,0.1,0.0,9,45.0,6.626883487140254e-08,7.794228061968199e-07,1.8475450755830643e-05,0.9999806788576031,0.9999806788576031,0.0,5.4763127614789454e-14,2.749165349184883e-12
150.0,0.1,0.0,10,50.0,8.459550452405644e-08,1.1386549718711173e-06,2.276884417415486e-05,0.9999760079053494,0.9999760079053494,0.0,3.48972531740975e-14,4.463399986800458e-11
150.0,0.1,0.0,11,55.0,6.870649795696428e-08,1.0501671248395438e-06,2.429490158954226e-05,0.9999745862247876,0.9999745862247876,0.0,5.456675851498078e-14,3.536447258057103e-11
150.0,0.1,0.0,12,60.0,8.412583996401632e-08,9.931985846747287e-07,2.2256834670125342e-05,0.9999766658409053,0.9999766658409053,0.0,2.153896248704913e-14,4.808644281640529e-11
150.0,0.1,0.0,13,65.0,7.336592488045178e-08,9.967196633620663e-07,2.113300466716847e-05,0.9999777969097446,0.9999777969097446,0.0,1.213121333687645e-13,1.758471345685198e-11
150.0,0.1,0.0,14,70.0,6.296114432181165e-08,8.245737282455976e-07,2.676234393777282e-05,0.9999723501211897,0.9999723501211897,0.0,3.603904442989732e-14,3.449835227461667e-11
150.0,0.1,0.0,15,75.0,5.588896082857446e-08,9.28045288553796e-07,2.3585268518853923e-05,0.9999754307972317,0.9999754307972317,0.0,7.49962082752297e-14,7.06154270235182e-11
