temperature_K,kappa_ref_ps_inv,gamma_phi_ps_inv,mean_maximum_PYR5_population_from_high_states,mean_final_PYR5_population_from_high_states,mean_steady_PYR5_population,mean_final_l1_distance_to_steady_from_high_states,mean_final_l1_distance_to_Gibbs_from_high_states,mean_integrated_downward_flux_to_PYR5,mean_net_thermal_flux_to_PYR5,PYR2_gateway_fraction,PYR3_gateway_fraction,PYR4_gateway_fraction,mean_steady_l1_distance_to_Gibbs
150.0,0.1,0.0,0.00017260595506254654,0.0001603916351143458,0.9999772855181392,1.9996337894667906,1.9996337877660437,0.00014757900528108766,0.0001475790052810846,0.019824493260999478,0.07390592982399839,0.9062695769150022,0.0
150.0,0.1,1.0,0.0016572088678018287,0.0016572088678018287,0.2647718344785274,0.6094421209229768,1.996640153300658,0.00014964876109034174,0.00014964876109031068,0.018142040311977005,0.06989537607330774,0.9119625836147155,1.4704109020792235
150.0,0.1,20.0,0.02845882179157368,0.02845882179157368,0.25046950985405964,0.4440213761251122,1.943036927453272,0.00014856783473473175,0.00014856783473419315,0.017630357696107244,0.06825294128292946,0.9141167010209633,1.4990155513281593
150.0,0.1,100.0,0.10713071821766963,0.10713071821766963,0.24890255370216738,0.28354367096923627,1.7856931346011802,0.00013925109599004218,0.00013925109598790343,0.018263713375369785,0.07021168084712381,0.9115246057775065,1.5021494636319437
150.0,1.0,0.0,0.0013512787830684285,0.0013452871280939106,0.9999772855181392,1.997263996490462,1.9972639967801291,0.0013333676639109627,0.0013333676639106957,0.021916440717943665,0.09580285066367644,0.8822807086183803,0.0
150.0,1.0,1.0,0.002798201863999889,0.002798201863999889,0.36881321232733294,0.7478066550095586,1.9943581673081598,0.0013954125581781267,0.001395412558177584,0.02053402226722912,0.08469447200077053,0.8947715057320006,1.2623281463816127
150.0,1.0,20.0,0.02926456545511802,0.02926456545511802,0.25556435454922377,0.45259957818833485,1.941425440126166,0.0014652267446767088,0.001465226744671158,0.018357329468213935,0.07122549251800446,0.910417178013782,1.4888258619378312
150.0,1.0,100.0,0.10576586108911049,0.10576586108911049,0.24492799913819552,0.27832427609813937,1.7884228488580272,0.0013679117760518101,0.0013679117760306422,0.018813779026906,0.07536910338483906,0.9058171175882552,1.5100985727598875
150.0,10.0,0.0,0.011484694424123879,0.01148379960188672,0.9999772855181392,1.9769869718565658,1.9769869718325188,0.011471664699885907,0.011471664699860516,0.024496755653681198,0.1325075024948527,0.8429957418514662,0.0
150.0,10.0,1.0,0.013029483933956483,0.013029483933956483,0.7079403266177717,1.3898216853675396,1.9738956031682744,0.011861366331267217,0.011861366331239078,0.023783558122530087,0.12320696515263503,0.8530094767248345,0.584073917800735
150.0,10.0,20.0,0.03831016397538771,0.03831016397538771,0.308847859219812,0.541075390489012,1.9233342430856666,0.013453197674814999,0.013453197674739003,0.020716672687901724,0.08880781532924499,0.8904755119828532,1.3822588525966546
150.0,10.0,100.0,0.10518550062316788,0.10518550062316788,0.24111670828008944,0.2718624153135724,1.789583569789672,0.012555590610726242,0.012555590610502721,0.02076175184804951,0.09500371615925957,0.8842345319926908,1.5177211544760998
300.0,0.1,0.0,0.00017210976935539673,0.0001611652957592181,0.9999506429580106,1.999578962758227,1.999578955324443,0.00014823700923344394,0.00014823700894909722,0.01873819249979706,0.072729092119408,0.9085327153807954,0.0
300.0,0.1,1.0,0.0016575551488747645,0.0016575551488747645,0.26494661353130605,0.6027344119800723,1.9965861756182477,0.0001496811906398545,0.000149681187760864,0.01799898586419933,0.06983877851755604,0.9121622356182449,1.470008058853409
300.0,0.1,20.0,0.02846153619956233,0.02846153619956233,0.2504838724305423,0.4440446724622368,1.9429782135171736,0.00014854561325672655,0.00014854556313318048,0.01759673380632387,0.06826975028497835,0.9141335159086976,1.4989335410549367
300.0,0.1,100.0,0.10735321296826533,0.10735321296826533,0.24915447271648772,0.2836025194966665,1.7851948599797123,0.0001393998639207672,0.00013939966318821532,0.018087924921444933,0.07010420389271903,0.911807871185836,1.5015923404830458
300.0,1.0,0.0,0.0014031215947692157,0.0013982142752882707,0.9999506429580106,1.9971048576443495,1.997104857365481,0.001385657687255292,0.001385657662384808,0.01992748588202921,0.08632358125786387,0.893748932860107,0.0
300.0,1.0,1.0,0.002848870572564847,0.002848870572564847,0.3777390152418211,0.7601136112775583,1.9942035447709323,0.00142059701190245,0.0014205969617166255,0.019348623345820423,0.08069440912827276,0.8999569675259066,1.244423255432379
300.0,1.0,20.0,0.02933103221238318,0.02933103221238318,0.2560793400393508,0.4534966156540179,1.9412392214913377,0.0014669933386140999,0.0014669928215911277,0.01810713702985076,0.07094394214507643,0.9109489208250728,1.4877426058373193
300.0,1.0,100.0,0.10663004405426087,0.10663004405426087,0.24653322653055837,0.2798063649526854,1.7866411978075898,0.0013753110177559614,0.0013753090240426103,0.01842409069870788,0.07394236956525156,0.9076335397360406,1.5068348328549046
300.0,10.0,0.0,0.013000014244223626,0.012999785137305849,0.9999506429580106,1.9739017157558414,1.9739017156414003,0.01298645747691051,0.012986455112571666,0.020741257491746976,0.10024692196076833,0.8790118205474847,0.0
300.0,10.0,1.0,0.014408325097405297,0.014408325097405297,0.7499920755648626,1.4711675009349319,1.9710846357212282,0.013116746100306501,0.013116743490365157,0.02057031411281928,0.09764565398879532,0.8817840318983854,0.49991713478629574
