temperature_K,kappa_ref_ps_inv,gamma_phi_ps_inv,frame,snapshot_time_ps,initial_state,final_survival,final_PYR5_population,maximum_PYR5_population,time_of_maximum_PYR5_ps,final_l1_distance_to_steady,final_l1_distance_to_Gibbs,steady_PYR5_population,integrated_downward_flux_to_PYR5,integrated_upward_flux_from_PYR5,net_thermal_flux_to_PYR5,PYR2_gateway_fraction,PYR3_gateway_fraction,PYR4_gateway_fraction
150.0,0.1,0.0,0,0.0,PYR2_bright,0.8330641073308567,8.031100555223693e-06,8.394966112768644e-06,99.25,1.999937907032962,1.9999379023358719,0.9999769846170529,7.306152572977406e-06,5.523596318904812e-20,7.306152572977351e-06,0.3908593287834226,0.3350341006450707,0.27410657057150667
150.0,0.1,0.0,0,0.0,PYR3_bright,0.5815234869576753,5.7240504918263213e-05,6.0798611431848955e-05,99.45,1.999839488224247,1.999839483527157,0.9999769846170529,5.325341469268696e-05,4.564950643638618e-19,5.325341469268651e-05,0.01003427101580374,0.4483659212361887,0.5415998077480075
150.0,0.1,0.0,0,0.0,PYR4_bright,0.6981002428888726,0.00042634259541307363,0.0004269892918231695,99.15,1.9991012840432099,1.9991012793461196,0.9999769846170529,0.0003571447951793375,3.829044837086393e-18,0.00035714479517933367,0.00021102659092448354,0.01300612695688034,0.9867828464521952
150.0,0.1,0.0,0,0.0,PYR5_bright,0.9999221537333787,0.9999221537333787,1.0,0.0,0.00010966176721704802,0.00010965707012693185,0.9999769846170529,7.606913407323775e-09,1.8195037238728843e-14,7.606895212286537e-09,0.00040632814467015906,0.0185525803103601,0.9810410915449699
150.0,0.1,0.0,1,5.0,PYR2_bright,0.8661154008793281,1.02036899425964e-05,1.0216195101074624e-05,99.05000000000001,1.9999376209749822,1.9999376325172125,0.9999790141775757,9.269472934332832e-06,1.2415288263970997e-20,9.26947293433282e-06,0.1751143576663619,0.13388976636242356,0.6909958759712146
150.0,0.1,0.0,1,5.0,PYR3_bright,0.9617148525810711,2.784193227200378e-05,2.852332634443834e-05,98.5,1.999902344490319,1.9999023560325495,0.9999790141775757,2.3783005269943166e-05,4.3582207946158216e-20,2.378300526994312e-05,0.0012531258529849846,0.8949488318794099,0.10379804226760513
150.0,0.1,0.0,1,5.0,PYR4_bright,0.896726448482877,0.0004109956065799935,0.0004485994042641126,99.45,1.9991360371417448,1.999136048683975,0.9999790141775757,0.0003752545771990157,7.345951958084512e-19,0.0003752545771990149,0.00011658642235019663,0.0016851455234307051,0.9981982680542191
150.0,0.1,0.0,1,5.0,PYR5_bright,0.9999581934743256,0.9999581934743256,1.0,0.0,4.164140611744068e-05,4.1652948347878105e-05,0.9999790141775757,7.400291271306589e-09,3.482935456842146e-15,7.400287788371132e-09,0.00013757496193365738,0.0053352993429126114,0.9945271256951537
150.0,0.1,0.0,2,10.0,PYR2_bright,0.3058620721471223,0.0001048150219968594,0.0001048352216476762,99.95,1.9997478308100034,1.9997478334198175,0.9999787304271186,9.84769047447689e-05,5.244396776815784e-19,9.847690474476837e-05,0.013107780836086212,0.11377707004064944,0.8731151491232643
150.0,0.1,0.0,2,10.0,PYR3_bright,0.5129291427074495,0.00010193988505527583,0.00010499308638786435,99.4,1.9997535810838676,1.9997535836936815,0.9999787304271186,9.658888196369152e-05,5.627882091723977e-19,9.658888196369095e-05,0.003768521243301966,0.29348162026070945,0.7027498584959886
150.0,0.1,0.0,2,10.0,PYR4_bright,0.2959334577004686,0.0002327274772223088,0.00023576639770040906,99.75,1.9994920058995527,1.9994920085093668,0.9999787304271186,0.00019607144152103534,1.718812793968688e-18,0.00019607144152103363,0.0027243720733683414,0.06630997379867773,0.930965654127954
150.0,0.1,0.0,2,10.0,PYR5_bright,0.9999495557217237,0.9999495557217237,1.0,0.0,5.8349410533666476e-05,5.835202034779682e-05,0.9999787304271186,3.940030484335762e-09,1.271648868265891e-14,3.940017767847079e-09,0.0027548436672019537,0.07971681850395693,0.9175283378288411
150.0,0.1,0.0,3,15.0,PYR2_bright,0.9286901581149755,8.115583340935002e-06,8.31823041407165e-06,99.9,1.9999502843832582,1.9999502216232545,0.9999832577748559,7.482894929772681e-06,2.8104595252660712e-21,7.482894929772678e-06,0.11442683984678359,0.041163883129930794,0.8444092770232856
150.0,0.1,0.0,3,15.0,PYR3_bright,0.9784820659022745,2.557696059893133e-05,2.557696059893133e-05,100.0,1.9999153616287257,1.9999152988687219,0.9999832577748559,2.116198856227877e-05,1.1343706458843355e-20,2.116198856227876e-05,9.925696703886466e-05,0.918211548144201,0.08168919488876007
150.0,0.1,0.0,3,15.0,PYR4_bright,0.9198558700831773,0.0003074382026543396,0.00036370447473096435,99.9,1.9993516391446415,1.9993515763846377,0.9999832577748559,0.0003031731657399679,1.7145369008269639e-19,0.00030317316573996776,3.539846314260926e-05,0.001743041830153765,0.9982215597067036
150.0,0.1,0.0,3,15.0,PYR5_bright,0.9999903409245033,0.9999903409245033,1.0,0.0,2.3419968281920675e-05,2.3426931338547342e-05,0.9999832577748559,4.770390903081173e-09,1.0126441375969836e-15,4.770389890437035e-09,3.475588422841016e-05,0.006306461348557415,0.9936587827672142
150.0,0.1,0.0,4,20.0,PYR2_bright,0.3466878530664954,6.430605346753444e-05,6.430605346753444e-05,100.0,1.9998291069587946,1.99982911846609,0.99997885953275,5.844505249998306e-05,8.899972267253366e-20,5.844505249998297e-05,0.008547374535944409,0.07183119681551133,0.9196214286485442
150.0,0.1,0.0,4,20.0,PYR3_bright,0.37048722995386096,0.00012587422340169997,0.00012689773616432262,99.7,1.9997059706189138,1.9997059821262093,0.99997885953275,0.00011745000193466567,2.2615836046145385e-19,0.00011745000193466544,0.001656842328526887,0.05600409729745101,0.942339060374022
150.0,0.1,0.0,4,20.0,PYR4_bright,0.68655808455965,0.00033772042697879223,0.00039657593016547576,99.65,1.9992822782117856,1.999282289719081,0.99997885953275,0.0003313515410343653,9.183343326135661e-19,0.00033135154103436436,0.00012659809869272937,0.00570445348056925,0.994168948420738
150.0,0.1,0.0,4,20.0,PYR5_bright,0.9999871370957938,0.9999871370957938,1.0,0.0,2.8044654290832693e-05,2.803853964223179e-05,0.99997885953275,7.111095676013786e-09,4.7041418008985e-15,7.1110909718719855e-09,0.00011480977822032461,0.0052717488332824376,0.9946134413884972
150.0,0.1,0.0,5,25.0,PYR2_bright,0.858833419402733,3.954187115426293e-06,4.199450126947056e-06,99.55000000000001,1.9999423818389443,1.9999423863819668,0.9999751451066665,3.6829034504832572e-06,2.500273495988274e-19,3.6829034504830074e-06,0.3974970640666288,0.5663559710218187,0.03614696491155256
150.0,0.1,0.0,5,25.0,PYR3_bright,0.9441638821650606,3.2478812390140656e-05,3.6226580010770303e-05,99.55000000000001,1.9998853325883719,1.9998853371313947,0.9999751451066665,3.0014004043882045e-05,2.525583254507404e-18,3.001400404387952e-05,0.0012128546448161995,0.9739477384394803,0.024839406915703476
150.0,0.1,0.0,5,25.0,PYR4_bright,0.9729170501955249,0.00048121735794071937,0.0005491836387096094,99.5,1.9989878554972593,1.9989878600402822,0.9999751451066665,0.0004597036627755166,3.932520482519737e-17,0.0004597036627754773,3.6267589340500025e-06,0.0007646184255367406,0.9992317548155292
150.0,0.1,0.0,5,25.0,PYR5_bright,0.99997541942632,0.99997541942632,1.0,0.0,3.985115077597922e-06,3.984922158922875e-06,0.9999751451066665,1.0673782364438088e-08,1.5469626574437384e-13,1.0673627668172344e-08,1.6680101815420145e-05,0.005394233623244648,0.99458908627494
150.0,0.1,0.0,6,30.0,PYR2_bright,0.9153402852262239,1.4970590981777806e-05,1.4970590981777806e-05,100.0,1.9999266511671467,1.9999266617813523,0.9999782961746809,1.3401845150487937e-05,5.67631232083575e-20,1.3401845150487879e-05,0.2420420599137317,0.03321248923255948,0.7247454508537088
150.0,0.1,0.0,6,30.0,PYR3_bright,0.370169518569971,0.00021764577202029885,0.00021835969492995034,99.85000000000001,1.999521300805056,1.9995213114192616,0.9999782961746809,0.00020602215037871527,1.0156838966936632e-18,0.00020602215037871427,0.0010204235638229424,0.04919826636857069,0.9497813100676064
150.0,0.1,0.0,6,30.0,PYR4_bright,0.5219173541137732,0.00028147697561610636,0.00030013529541894943,99.60000000000001,1.9993936383979078,1.9993936490121131,0.9999782961746809,0.00025871065893389225,1.6939629567245702e-18,0.0002587106589338906,0.0006239664795985129,0.02881874658297055,0.9705572869374309
150.0,0.1,0.0,6,30.0,PYR5_bright,0.9999663578960736,0.9999663578960736,1.0,0.0,2.3876556989905133e-05,2.3887171195415147e-05,0.9999782961746809,5.636930514625726e-09,1.0653298691416725e-14,5.6369198613270345e-09,0.0007332071101999344,0.027701635053459687,0.9715651578363403
150.0,0.1,0.0,7,35.0,PYR2_bright,0.9528608467739583,5.423931365970659e-06,5.569531195901538e-06,99.80000000000001,1.9999403524654675,1.9999403649368745,0.9999756001642165,4.9443718372224985e-06,7.939852560130091e-20,4.944371837222419e-06,0.20372540035292533,0.08172705168498852,0.7145475479620861
