state,PYR2_bright,PYR3_bright,PYR4_bright,PYR5_bright
PYR2_bright,117.006802721,32.6394557823,3.78911564626,-38.1156462585
PYR3_bright,32.6394557823,134.902494331,-12.2199546485,-33.3310657596
PYR4_bright,3.78911564626,-12.2199546485,54.8072562358,28.2675736961
PYR5_bright,-38.1156462585,-33.3310657596,28.2675736961,257.092970522
