frame,time_ps,state_a,state_b,J_meV,absolute_J_meV,detuning_meV,absolute_detuning_meV,absolute_J_over_absolute_detuning
0,0.0,PYR2_bright,PYR3_bright,-1.2088725020000002,1.2088725020000002,-11.00000000000001,11.00000000000001,0.1098975001818181
1,5.0,PYR2_bright,PYR3_bright,-1.1612817160000002,1.1612817160000002,18.000000000000014,18.000000000000014,0.06451565088888885
2,10.0,PYR2_bright,PYR3_bright,-1.2247824630000002,1.2247824630000002,7.999999999999952,7.999999999999952,0.15309780787500094
3,15.0,PYR2_bright,PYR3_bright,-1.2209627079999998,1.2209627079999998,32.99999999999997,32.99999999999997,0.03699886993939397
4,20.0,PYR2_bright,PYR3_bright,-1.2401676419999998,1.2401676419999998,6.000000000000005,6.000000000000005,0.20669460699999978
5,25.0,PYR2_bright,PYR3_bright,-1.1285283430000002,1.1285283430000002,16.000000000000014,16.000000000000014,0.07053302143749994
6,30.0,PYR2_bright,PYR3_bright,-1.201476688,1.201476688,-14.999999999999957,14.999999999999957,0.0800984458666669
7,35.0,PYR2_bright,PYR3_bright,-1.178481453,1.178481453,32.99999999999997,32.99999999999997,0.03571155918181822
8,40.0,PYR2_bright,PYR3_bright,-1.221722382,1.221722382,6.000000000000005,6.000000000000005,0.20362039699999981
9,45.0,PYR2_bright,PYR3_bright,-1.2190056009999999,1.2190056009999999,18.99999999999996,18.99999999999996,0.06415818952631591
10,50.0,PYR2_bright,PYR3_bright,-1.223083983,1.223083983,14.000000000000012,14.000000000000012,0.08736314164285706
11,55.0,PYR2_bright,PYR3_bright,-1.2260334069999999,1.2260334069999999,26.999999999999968,26.999999999999968,0.04540864470370375
12,60.0,PYR2_bright,PYR3_bright,-1.2385928789999998,1.2385928789999998,-7.000000000000006,7.000000000000006,0.17694183985714268
13,65.0,PYR2_bright,PYR3_bright,-1.226492367,1.226492367,28.99999999999997,28.99999999999997,0.04229284024137935
14,70.0,PYR2_bright,PYR3_bright,-1.208799793,1.208799793,-3.999999999999948,3.999999999999948,0.30219994825000396
15,75.0,PYR2_bright,PYR3_bright,-1.195062884,1.195062884,11.999999999999956,11.999999999999956,0.09958857366666703
16,80.0,PYR2_bright,PYR3_bright,-1.186730013,1.186730013,21.999999999999964,21.999999999999964,0.0539422733181819
17,85.0,PYR2_bright,PYR3_bright,-1.210685059,1.210685059,-1.0000000000000009,1.0000000000000009,1.210685058999999
18,90.0,PYR2_bright,PYR3_bright,-1.22307089,1.22307089,-2.0000000000000018,2.0000000000000018,0.6115354449999995
19,95.0,PYR2_bright,PYR3_bright,-1.2313500370000001,1.2313500370000001,6.000000000000005,6.000000000000005,0.2052250061666665
20,100.0,PYR2_bright,PYR3_bright,-1.179959469,1.179959469,12.00000000000001,12.00000000000001,0.0983299557499999
0,0.0,PYR2_bright,PYR4_bright,0.253159537,0.253159537,-22.00000000000002,22.00000000000002,0.011507251681818171
1,5.0,PYR2_bright,PYR4_bright,0.25327469799999996,0.25327469799999996,-6.000000000000005,6.000000000000005,0.042212449666666624
2,10.0,PYR2_bright,PYR4_bright,0.25879369,0.25879369,0.9999999999999454,0.9999999999999454,0.2587936900000142
3,15.0,PYR2_bright,PYR4_bright,0.254891658,0.254891658,7.000000000000006,7.000000000000006,0.03641309399999997
4,20.0,PYR2_bright,PYR4_bright,0.258631503,0.258631503,13.999999999999957,13.999999999999957,0.01847367878571434
5,25.0,PYR2_bright,PYR4_bright,0.23504155100000002,0.23504155100000002,-21.000000000000018,21.000000000000018,0.011192454809523801
6,30.0,PYR2_bright,PYR4_bright,0.25415109399999997,0.25415109399999997,-11.00000000000001,11.00000000000001,0.023104644909090883
7,35.0,PYR2_bright,PYR4_bright,0.253617361,0.253617361,9.999999999999954,9.999999999999954,0.025361736100000115
8,40.0,PYR2_bright,PYR4_bright,0.255521839,0.255521839,-13.00000000000001,13.00000000000001,0.019655526076923058
9,45.0,PYR2_bright,PYR4_bright,0.257309167,0.257309167,13.999999999999957,13.999999999999957,0.01837922621428577
10,50.0,PYR2_bright,PYR4_bright,0.254018869,0.254018869,-19.99999999999996,19.99999999999996,0.012700943450000024
11,55.0,PYR2_bright,PYR4_bright,0.256556775,0.256556775,7.999999999999952,7.999999999999952,0.032069596875000196
12,60.0,PYR2_bright,PYR4_bright,0.258739643,0.258739643,-24.999999999999968,24.999999999999968,0.010349585720000014
13,65.0,PYR2_bright,PYR4_bright,0.25659058,0.25659058,1.0000000000000009,1.0000000000000009,0.2565905799999998
14,70.0,PYR2_bright,PYR4_bright,0.256490851,0.256490851,23.00000000000002,23.00000000000002,0.011151776130434773
15,75.0,PYR2_bright,PYR4_bright,0.24872769200000003,0.24872769200000003,4.0000000000000036,4.0000000000000036,0.06218192299999995
16,80.0,PYR2_bright,PYR4_bright,0.252170417,0.252170417,6.99999999999995,6.99999999999995,0.03602434528571454
17,85.0,PYR2_bright,PYR4_bright,0.25771581,0.25771581,-4.9999999999999485,4.9999999999999485,0.05154316200000053
18,90.0,PYR2_bright,PYR4_bright,0.257005267,0.257005267,-1.0000000000000009,1.0000000000000009,0.25700526699999976
19,95.0,PYR2_bright,PYR4_bright,0.257917377,0.257917377,-3.0000000000000027,3.0000000000000027,0.08597245899999992
20,100.0,PYR2_bright,PYR4_bright,0.253713992,0.253713992,-5.000000000000004,5.000000000000004,0.050742798399999955
0,0.0,PYR2_bright,PYR5_bright,0.078608836,0.078608836,289.0,289.0,0.000272002892733564
