frame,time_ps,eigen_index,eigenvalue_eV,eigenvalue_relative_to_lowest_meV,participation_ratio,dominant_local_state,dominant_population,PYR2_population,PYR3_population,PYR4_population,PYR5_population
0,0.0,1,0.028992865271611164,0.0,1.000046035936246,PYR5_bright,0.9999769825837977,7.846800534222442e-08,9.228385153642084e-07,2.201610968048069e-05,0.9999769825837977
0,0.0,2,0.3178621738640998,288.86930859248866,1.0249855467773317,PYR2_bright,0.9876631577970292,0.9876631577970292,0.01203788013595279,0.000298745941601398,2.161254166897032e-07
0,0.0,3,0.329008305692295,300.01544042068383,1.0481396043425995,PYR3_bright,0.9766255562221902,0.012306066642279928,0.9766255562221902,0.011066383700639794,1.9934348899249546e-06
0,0.0,4,0.340136655171994,311.14378990038284,1.0230347803102455,PYR4_bright,0.9886128542480773,3.069709268561507e-05,0.011335640803341462,0.9886128542480773,2.0807855894566578e-05
1,5.0,1,0.005993044245032894,0.0,1.0000419609015097,PYR5_bright,0.9999790200072879,5.748350049167494e-08,8.300841272760327e-07,2.0092425084301912e-05,0.9999790200072879
1,5.0,2,0.3148677214320801,308.8746771870472,1.013220744857712,PYR3_bright,0.9934428569287085,0.004161965210475758,0.9934428569287085,0.002393871660555169,1.3062002611562842e-06
1,5.0,3,0.33306938488857984,327.076340643547,1.0105157904296012,PYR2_bright,0.9947732925731566,0.9947732925731566,0.004356623733356793,0.0008699868422386835,9.685124745758037e-08
1,5.0,4,0.3390698494343073,333.0768051892744,1.0065943454654203,PYR4_bright,0.9967160490721214,0.0010646847328667042,0.0021996892538079862,0.9967160490721214,1.9576941203453873e-05
2,10.0,1,0.028993338690025,0.0,1.0000425372720425,PYR5_bright,0.9999787318353406,7.812607051516103e-08,8.541516831290693e-07,2.033588690598451e-05,0.9999787318353406
2,10.0,2,0.3356147907029613,306.6214520129363,1.1028370241882934,PYR3_bright,0.951614419777726,0.02175799135221398,0.951614419777726,0.026624771040423906,2.8178296364878544e-06
2,10.0,3,0.3432024451351735,314.2091064451485,1.0677044028719984,PYR4_bright,0.9673120698776313,0.0028714023508441045,0.029798117639017248,0.9673120698776313,1.841013250716934e-05
2,10.0,4,0.3441894254718403,315.19608678181527,1.0507185578453633,PYR2_bright,0.975370528170872,0.975370528170872,0.018586608431574024,0.006042823195038639,4.0202515968981327e-08
3,15.0,1,-5.791394561791491e-06,0.0,1.000033547759841,PYR5_bright,0.9999832264148323,6.351648266897164e-08,7.74183021116525e-07,1.5935885664920274e-05,0.9999832264148323
3,15.0,2,0.32089842862229934,320.90422001686113,1.0071322881002003,PYR3_bright,0.9964495039419777,0.0013820147498430119,0.9964495039419777,0.0021673288279933497,1.1524801854407375e-06
