system,type,final_energy_Eh,S1_eV,S2_eV,S3_eV,S4_eV,terminated_normally
PYR2,monomer,-614.470261412699,3.779,3.824,4.225,4.635,YES
PYR3,monomer,-614.471634431824,3.774,NA,NA,NA,YES
PYR4,monomer,-614.470019195862,3.782,NA,NA,NA,YES
PYR5,monomer,-614.470834997950,3.767,NA,NA,NA,YES
PYR2-PYR4,dimer,-1229.081215797416,3.726,3.731,3.779,3.782,YES
PYR3-PYR5,dimer,-1229.082575022547,3.729,3.731,3.767,3.774,YES
