case,trajectory,solver_success,max_trace_error,min_density_eigenvalue,max_PYR2,final_PYR2,t_PYR2_10pct_fs,t_PYR2_20pct_fs,t_PYR2_30pct_fs
site10_coupling2meV,0,True,9.797468834266458e-15,0.0,0.32347441987549064,0.31429731478021933,150.0,470.0,1340.0
site10_coupling2meV,1,True,1.0038513872472459e-14,0.0,0.3265194859691963,0.31363549852476785,150.0,390.0,950.0
site10_coupling2meV,2,True,1.1536361885514374e-14,0.0,0.38001895514904294,0.2533805182548395,130.0,330.0,830.0
site10_coupling2meV,3,True,1.6038744341516856e-14,0.0,0.34649317863561324,0.3002275438596491,140.0,310.0,880.0
site10_coupling2meV,4,True,1.3106747202832769e-14,0.0,0.34933135031156476,0.33827016770877705,140.0,360.0,1230.0
site10_coupling2meV,5,True,2.4483844304748595e-14,0.0,0.3827803142154451,0.302209240894493,140.0,380.0,1260.0
site10_coupling2meV,6,True,1.0486808007908905e-14,0.0,0.34093422824866426,0.32045774218119194,120.0,250.0,940.0
site10_coupling2meV,7,True,1.6772550209746347e-14,0.0,0.350856055882807,0.3240775589876334,130.0,330.0,1010.0
site10_coupling2meV,8,True,2.9083987296959597e-14,0.0,0.34587220132021723,0.3082459523629641,150.0,300.0,530.0
site10_coupling2meV,9,True,7.572128429950644e-15,0.0,0.33920004962362243,0.33920004962362243,150.0,390.0,1110.0
site10_coupling2meV,10,True,1.5839417395212444e-14,0.0,0.34885021121642296,0.312100755426859,140.0,350.0,820.0
site10_coupling2meV,11,True,7.891898257053294e-15,0.0,0.347043636708036,0.301482431766858,150.0,390.0,760.0
site10_coupling2meV,12,True,7.925493268518074e-15,0.0,0.3284479598015245,0.31108397365085405,100.0,420.0,1440.0
site10_coupling2meV,13,True,9.31657686446975e-15,0.0,0.331708027710135,0.3017976369647217,120.0,280.0,1060.0
site10_coupling2meV,14,True,2.4672860327386275e-14,0.0,0.33536170169017077,0.3227238942196292,120.0,350.0,770.0
site10_coupling2meV,15,True,1.9382322202896186e-14,0.0,0.3390343550900087,0.2768845641172426,120.0,340.0,870.0
site10_coupling2meV,16,True,1.1253526706991498e-14,0.0,0.36711453990967424,0.3134523515959439,140.0,350.0,830.0
site10_coupling2meV,17,True,6.80672366438757e-15,0.0,0.3488202005804238,0.31586344832958907,100.0,240.0,770.0
site10_coupling2meV,18,True,1.0684112607123164e-14,0.0,0.34684594120161,0.31695279232748325,110.0,360.0,1370.0
site10_coupling2meV,19,True,1.0376060751120473e-14,0.0,0.32930473061917515,0.31023868018524536,130.0,370.0,990.0
site10_coupling2meV,20,True,8.989120498076918e-15,0.0,0.34787449458006897,0.29112948403112804,110.0,350.0,1080.0
site10_coupling2meV,21,True,1.0591821048828067e-14,0.0,0.34164921490936107,0.30616857137504605,140.0,380.0,1260.0
site10_coupling2meV,22,True,4.595635138554383e-15,0.0,0.33945178641268225,0.3123730934776878,120.0,220.0,570.0
site10_coupling2meV,23,True,8.359906482038254e-15,0.0,0.3633776489831528,0.32782866865256016,150.0,370.0,850.0
site10_coupling2meV,24,True,2.7270674264183306e-14,0.0,0.336852035016696,0.3195876500568647,140.0,380.0,1000.0
site10_coupling2meV,25,True,1.8533868608355364e-14,0.0,0.34722897673821573,0.32763214927558304,140.0,330.0,550.0
site10_coupling2meV,26,True,1.1120334226930437e-14,0.0,0.3483299752405577,0.3334224000041337,150.0,420.0,1420.0
site10_coupling2meV,27,True,7.169272702680604e-15,0.0,0.33992087077626076,0.2845124033260875,120.0,290.0,1330.0
site10_coupling2meV,28,True,7.937356680043774e-15,0.0,0.35016608545952327,0.2669750970695365,140.0,380.0,820.0
site10_coupling2meV,29,True,1.2315280835006686e-14,0.0,0.33574437966448367,0.3103745812563566,90.0,220.0,790.0
