case,trajectory,solver_success,max_trace_error,min_density_eigenvalue,max_PYR2,final_PYR2,t_PYR2_10pct_fs,t_PYR2_20pct_fs,t_PYR2_30pct_fs
static,0,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,1,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,2,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,3,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,4,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,5,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,6,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,7,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,8,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,9,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,10,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,11,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,12,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,13,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,14,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,15,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,16,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,17,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,18,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,19,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,20,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,21,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,22,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,23,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,24,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,25,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,26,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,27,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,28,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
static,29,True,2.0117001334892366e-14,0.0,0.3056153719900758,0.30543887834327066,130.0,390.0,1350.0
