family,site_a,site_b,pearson_r,n_frames
bright_like,PYR2,PYR2,0.9999999999999998,21
bright_like,PYR2,PYR3,0.2597929508700919,21
bright_like,PYR2,PYR4,0.04731657206858353,21
bright_like,PYR2,PYR5,-0.21976201602816411,21
bright_like,PYR3,PYR3,1.0,21
bright_like,PYR3,PYR4,-0.14211521412675696,21
bright_like,PYR3,PYR5,-0.17897571637069926,21
bright_like,PYR4,PYR4,1.0000000000000002,21
bright_like,PYR4,PYR5,0.23813564196248418,21
bright_like,PYR5,PYR5,0.9999999999999999,21
alternate_like,PYR2,PYR2,1.0,21
alternate_like,PYR2,PYR3,-0.053727193542644526,21
alternate_like,PYR2,PYR4,0.10709744870836532,21
alternate_like,PYR2,PYR5,-0.3036470552933422,21
alternate_like,PYR3,PYR3,0.9999999999999999,21
alternate_like,PYR3,PYR4,-0.0447941847115531,21
alternate_like,PYR3,PYR5,-0.37363801388474205,21
alternate_like,PYR4,PYR4,1.0,21
alternate_like,PYR4,PYR5,0.13149982983685746,21
alternate_like,PYR5,PYR5,1.0,21
within_site_bright_vs_alternate,PYR2,PYR2,0.5828641659771983,21
within_site_bright_vs_alternate,PYR3,PYR3,0.6053135026369024,21
within_site_bright_vs_alternate,PYR4,PYR4,0.7302592372198828,21
within_site_bright_vs_alternate,PYR5,PYR5,0.7171223273448243,21
