atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1,B0001,1.22574,1.18215,-0.04359
2,N0002,1.20374,1.16849,-0.03524
3,B0003,1.22648,1.21748,-0.00900
4,N0004,1.20413,1.14574,-0.05839
5,B0005,1.22578,1.15769,-0.06810
6,N0006,1.20385,1.10712,-0.09673
7,B0007,1.22457,1.17229,-0.05228
8,N0008,1.20376,1.11190,-0.09187
9,B0009,1.22524,1.17170,-0.05355
10,N0010,1.20332,1.11511,-0.08821
11,B0011,1.22586,1.06555,-0.16031
12,N0012,1.20390,1.08438,-0.11952
13,B0013,1.22667,1.19397,-0.03269
14,N0014,1.20358,1.12947,-0.07411
15,B0015,1.22651,1.14096,-0.08555
16,N0016,1.20332,1.10994,-0.09338
17,B0017,1.22646,1.03628,-0.19018
18,N0018,1.20327,1.06919,-0.13409
19,B0019,1.22652,1.13471,-0.09182
20,N0020,1.20344,1.11978,-0.08366
21,B0021,1.22562,1.26732,0.04170
22,N0022,1.20367,1.18628,-0.01739
23,B0023,1.22500,1.11794,-0.10706
24,N0024,1.20375,1.17748,-0.02626
25,B0025,1.22559,1.34746,0.12187
26,N0026,1.20419,1.26858,0.06439
27,B0027,1.22444,1.21381,-0.01063
28,N0028,1.20342,1.24611,0.04269
29,B0029,1.22721,1.34169,0.11449
30,N0030,1.20367,1.30050,0.09683
31,B0031,1.22627,1.40134,0.17508
32,N0032,1.20327,1.32637,0.12311
33,B0033,1.22711,1.31933,0.09222
34,N0034,1.20357,1.30760,0.10403
35,B0035,1.22384,1.45714,0.23330
36,N0036,1.20323,1.34461,0.14138
37,B0037,1.22671,1.33090,0.10419
38,N0038,1.20311,1.29316,0.09006
39,B0039,1.22532,1.22487,-0.00046
40,N0040,1.20340,1.23817,0.03477
41,B0041,1.22435,1.33352,0.10917
42,N0042,1.20376,1.27521,0.07145
43,B0043,1.22512,1.31092,0.08580
44,N0044,1.20330,1.26838,0.06508
45,B0045,1.22500,1.27254,0.04754
46,N0046,1.20390,1.24428,0.04038
47,B0047,1.22604,1.26827,0.04223
48,N0048,1.20385,1.23628,0.03243
49,B0049,1.22622,1.34537,0.11915
50,N0050,1.20313,1.26835,0.06522
51,B0051,1.22545,1.33322,0.10777
52,N0052,1.20350,1.28156,0.07807
53,B0053,1.22638,1.25875,0.03237
54,N0054,1.20371,1.27296,0.06925
55,B0055,1.22488,1.35277,0.12789
56,N0056,1.20408,1.30825,0.10418
57,B0057,1.22651,1.33981,0.11330
58,N0058,1.20366,1.28843,0.08477
59,B0059,1.22540,1.26950,0.04409
60,N0060,1.20305,1.22917,0.02612
61,B0061,1.19934,1.14438,-0.05497
62,N0062,1.20233,1.14722,-0.05511
63,B0063,1.20042,1.10990,-0.09052
64,N0064,1.20263,1.11106,-0.09157
65,B0065,1.19944,1.08582,-0.11361
66,N0066,1.20304,1.08017,-0.12286
67,B0067,1.19908,1.10563,-0.09345
68,N0068,1.20265,1.10404,-0.09860
69,B0069,1.20016,1.10126,-0.09890
70,N0070,1.20237,1.10267,-0.09970
71,B0071,1.20030,1.10785,-0.09245
72,N0072,1.20294,1.10517,-0.09776
73,B0073,1.20001,1.11295,-0.08706
74,N0074,1.20315,1.11513,-0.08802
75,B0075,1.19974,1.09376,-0.10597
76,N0076,1.20274,1.11678,-0.08596
77,B0077,1.19991,1.10095,-0.09896
78,N0078,1.20305,1.11439,-0.08867
79,B0079,1.20011,1.14715,-0.05295
80,N0080,1.20234,1.13735,-0.06499
81,B0081,1.19989,1.17899,-0.02090
82,N0082,1.20268,1.18372,-0.01896
83,B0083,1.19947,1.22961,0.03014
84,N0084,1.20230,1.23632,0.03402
85,B0085,1.19990,1.26278,0.06288
86,N0086,1.20263,1.27055,0.06792
87,B0087,1.19997,1.27446,0.07449
88,N0088,1.20313,1.28290,0.07976
89,B0089,1.19987,1.31017,0.11030
90,N0090,1.20285,1.30389,0.10104
91,B0091,1.19982,1.30485,0.10503
92,N0092,1.20281,1.29472,0.09191
93,B0093,1.19983,1.31350,0.11367
94,N0094,1.20204,1.28836,0.08632
95,B0095,1.19966,1.30669,0.10703
96,N0096,1.20326,1.28256,0.07930
97,B0097,1.19916,1.26045,0.06129
98,N0098,1.20273,1.25792,0.05519
99,B0099,1.19951,1.24763,0.04813
100,N0100,1.20230,1.26055,0.05825
101,B0101,1.20008,1.26557,0.06549
102,N0102,1.20323,1.26190,0.05867
103,B0103,1.19945,1.24432,0.04487
104,N0104,1.20259,1.24218,0.03959
105,B0105,1.19927,1.23314,0.03388
106,N0106,1.20227,1.22977,0.02751
107,B0107,1.19857,1.23343,0.03486
108,N0108,1.20151,1.24270,0.04119
109,B0109,1.20027,1.26743,0.06716
110,N0110,1.20342,1.26644,0.06302
111,B0111,1.19919,1.28017,0.08097
112,N0112,1.20280,1.29201,0.08921
113,B0113,1.20018,1.29374,0.09356
114,N0114,1.20300,1.30196,0.09896
115,B0115,1.19920,1.29246,0.09326
116,N0116,1.20280,1.28246,0.07966
117,B0117,1.20027,1.25170,0.05143
118,N0118,1.20248,1.24452,0.04203
119,B0119,1.19929,1.19394,-0.00536
120,N0120,1.20228,1.20209,-0.00019
121,B0121,1.20413,1.12971,-0.07442
122,N0122,1.20511,1.13863,-0.06647
123,B0123,1.20385,1.09199,-0.11186
124,N0124,1.20608,1.09307,-0.11301
125,B0125,1.20376,1.08718,-0.11659
126,N0126,1.20597,1.08433,-0.12164
127,B0127,1.20265,1.10747,-0.09517
128,N0128,1.20547,1.09626,-0.10921
129,B0129,1.20304,1.10518,-0.09786
130,N0130,1.20527,1.10377,-0.10150
131,B0131,1.20358,1.10794,-0.09564
132,N0132,1.20579,1.11367,-0.09212
133,B0133,1.20343,1.11924,-0.08418
134,N0134,1.20542,1.12743,-0.07799
135,B0135,1.20327,1.11879,-0.08448
136,N0136,1.20537,1.12764,-0.07772
137,B0137,1.20344,1.12470,-0.07873
138,N0138,1.20565,1.13731,-0.06834
139,B0139,1.20367,1.16033,-0.04334
140,N0140,1.20590,1.17503,-0.03087
141,B0141,1.20300,1.21589,0.01289
142,N0142,1.20657,1.22247,0.01590
143,B0143,1.20280,1.26316,0.06036
144,N0144,1.20559,1.26497,0.05938
145,B0145,1.20342,1.28053,0.07710
146,N0146,1.20566,1.28081,0.07515
147,B0147,1.20367,1.29887,0.09520
148,N0148,1.20465,1.29756,0.09291
149,B0149,1.20327,1.29746,0.09420
150,N0150,1.20527,1.29356,0.08830
151,B0151,1.20259,1.28256,0.07997
152,N0152,1.20553,1.27398,0.06845
