node_id,element,node_type,end,source_index_0based,coordinates_assigned,formal_charge_assigned,force_field_type_assigned,circumferential_index,lattice_x,lattice_y,radius_proxy_nm,angle_turns,attached_to
P:60,B,PARENT_HBN,PARENT,60,False,False,False,,,,,,
P:61,N,PARENT_HBN,PARENT,61,False,False,False,,,,,,
P:62,B,PARENT_HBN,PARENT,62,False,False,False,,,,,,
P:63,N,PARENT_HBN,PARENT,63,False,False,False,,,,,,
P:64,B,PARENT_HBN,PARENT,64,False,False,False,,,,,,
P:65,N,PARENT_HBN,PARENT,65,False,False,False,,,,,,
P:66,B,PARENT_HBN,PARENT,66,False,False,False,,,,,,
P:67,N,PARENT_HBN,PARENT,67,False,False,False,,,,,,
P:68,B,PARENT_HBN,PARENT,68,False,False,False,,,,,,
P:69,N,PARENT_HBN,PARENT,69,False,False,False,,,,,,
P:70,B,PARENT_HBN,PARENT,70,False,False,False,,,,,,
P:71,N,PARENT_HBN,PARENT,71,False,False,False,,,,,,
P:72,B,PARENT_HBN,PARENT,72,False,False,False,,,,,,
P:73,N,PARENT_HBN,PARENT,73,False,False,False,,,,,,
P:74,B,PARENT_HBN,PARENT,74,False,False,False,,,,,,
P:75,N,PARENT_HBN,PARENT,75,False,False,False,,,,,,
P:76,B,PARENT_HBN,PARENT,76,False,False,False,,,,,,
P:77,N,PARENT_HBN,PARENT,77,False,False,False,,,,,,
P:78,B,PARENT_HBN,PARENT,78,False,False,False,,,,,,
P:79,N,PARENT_HBN,PARENT,79,False,False,False,,,,,,
P:80,B,PARENT_HBN,PARENT,80,False,False,False,,,,,,
P:81,N,PARENT_HBN,PARENT,81,False,False,False,,,,,,
P:82,B,PARENT_HBN,PARENT,82,False,False,False,,,,,,
P:83,N,PARENT_HBN,PARENT,83,False,False,False,,,,,,
P:84,B,PARENT_HBN,PARENT,84,False,False,False,,,,,,
P:85,N,PARENT_HBN,PARENT,85,False,False,False,,,,,,
P:86,B,PARENT_HBN,PARENT,86,False,False,False,,,,,,
P:87,N,PARENT_HBN,PARENT,87,False,False,False,,,,,,
P:88,B,PARENT_HBN,PARENT,88,False,False,False,,,,,,
P:89,N,PARENT_HBN,PARENT,89,False,False,False,,,,,,
P:90,B,PARENT_HBN,PARENT,90,False,False,False,,,,,,
P:91,N,PARENT_HBN,PARENT,91,False,False,False,,,,,,
P:92,B,PARENT_HBN,PARENT,92,False,False,False,,,,,,
P:93,N,PARENT_HBN,PARENT,93,False,False,False,,,,,,
P:94,B,PARENT_HBN,PARENT,94,False,False,False,,,,,,
P:95,N,PARENT_HBN,PARENT,95,False,False,False,,,,,,
P:96,B,PARENT_HBN,PARENT,96,False,False,False,,,,,,
P:97,N,PARENT_HBN,PARENT,97,False,False,False,,,,,,
P:98,B,PARENT_HBN,PARENT,98,False,False,False,,,,,,
P:99,N,PARENT_HBN,PARENT,99,False,False,False,,,,,,
P:100,B,PARENT_HBN,PARENT,100,False,False,False,,,,,,
P:101,N,PARENT_HBN,PARENT,101,False,False,False,,,,,,
P:102,B,PARENT_HBN,PARENT,102,False,False,False,,,,,,
P:103,N,PARENT_HBN,PARENT,103,False,False,False,,,,,,
P:104,B,PARENT_HBN,PARENT,104,False,False,False,,,,,,
P:105,N,PARENT_HBN,PARENT,105,False,False,False,,,,,,
P:106,B,PARENT_HBN,PARENT,106,False,False,False,,,,,,
P:107,N,PARENT_HBN,PARENT,107,False,False,False,,,,,,
P:108,B,PARENT_HBN,PARENT,108,False,False,False,,,,,,
P:109,N,PARENT_HBN,PARENT,109,False,False,False,,,,,,
P:110,B,PARENT_HBN,PARENT,110,False,False,False,,,,,,
P:111,N,PARENT_HBN,PARENT,111,False,False,False,,,,,,
P:112,B,PARENT_HBN,PARENT,112,False,False,False,,,,,,
P:113,N,PARENT_HBN,PARENT,113,False,False,False,,,,,,
P:114,B,PARENT_HBN,PARENT,114,False,False,False,,,,,,
P:115,N,PARENT_HBN,PARENT,115,False,False,False,,,,,,
P:116,B,PARENT_HBN,PARENT,116,False,False,False,,,,,,
P:117,N,PARENT_HBN,PARENT,117,False,False,False,,,,,,
P:118,B,PARENT_HBN,PARENT,118,False,False,False,,,,,,
P:119,N,PARENT_HBN,PARENT,119,False,False,False,,,,,,
P:120,B,PARENT_HBN,PARENT,120,False,False,False,,,,,,
P:121,N,PARENT_HBN,PARENT,121,False,False,False,,,,,,
P:122,B,PARENT_HBN,PARENT,122,False,False,False,,,,,,
P:123,N,PARENT_HBN,PARENT,123,False,False,False,,,,,,
P:124,B,PARENT_HBN,PARENT,124,False,False,False,,,,,,
P:125,N,PARENT_HBN,PARENT,125,False,False,False,,,,,,
P:126,B,PARENT_HBN,PARENT,126,False,False,False,,,,,,
P:127,N,PARENT_HBN,PARENT,127,False,False,False,,,,,,
P:128,B,PARENT_HBN,PARENT,128,False,False,False,,,,,,
P:129,N,PARENT_HBN,PARENT,129,False,False,False,,,,,,
P:130,B,PARENT_HBN,PARENT,130,False,False,False,,,,,,
P:131,N,PARENT_HBN,PARENT,131,False,False,False,,,,,,
P:132,B,PARENT_HBN,PARENT,132,False,False,False,,,,,,
P:133,N,PARENT_HBN,PARENT,133,False,False,False,,,,,,
P:134,B,PARENT_HBN,PARENT,134,False,False,False,,,,,,
P:135,N,PARENT_HBN,PARENT,135,False,False,False,,,,,,
P:136,B,PARENT_HBN,PARENT,136,False,False,False,,,,,,
P:137,N,PARENT_HBN,PARENT,137,False,False,False,,,,,,
P:138,B,PARENT_HBN,PARENT,138,False,False,False,,,,,,
P:139,N,PARENT_HBN,PARENT,139,False,False,False,,,,,,
P:140,B,PARENT_HBN,PARENT,140,False,False,False,,,,,,
P:141,N,PARENT_HBN,PARENT,141,False,False,False,,,,,,
P:142,B,PARENT_HBN,PARENT,142,False,False,False,,,,,,
P:143,N,PARENT_HBN,PARENT,143,False,False,False,,,,,,
P:144,B,PARENT_HBN,PARENT,144,False,False,False,,,,,,
P:145,N,PARENT_HBN,PARENT,145,False,False,False,,,,,,
P:146,B,PARENT_HBN,PARENT,146,False,False,False,,,,,,
P:147,N,PARENT_HBN,PARENT,147,False,False,False,,,,,,
P:148,B,PARENT_HBN,PARENT,148,False,False,False,,,,,,
P:149,N,PARENT_HBN,PARENT,149,False,False,False,,,,,,
P:150,B,PARENT_HBN,PARENT,150,False,False,False,,,,,,
P:151,N,PARENT_HBN,PARENT,151,False,False,False,,,,,,
P:152,B,PARENT_HBN,PARENT,152,False,False,False,,,,,,
P:153,N,PARENT_HBN,PARENT,153,False,False,False,,,,,,
P:154,B,PARENT_HBN,PARENT,154,False,False,False,,,,,,
P:155,N,PARENT_HBN,PARENT,155,False,False,False,,,,,,
P:156,B,PARENT_HBN,PARENT,156,False,False,False,,,,,,
P:157,N,PARENT_HBN,PARENT,157,False,False,False,,,,,,
P:158,B,PARENT_HBN,PARENT,158,False,False,False,,,,,,
P:159,N,PARENT_HBN,PARENT,159,False,False,False,,,,,,
P:160,B,PARENT_HBN,PARENT,160,False,False,False,,,,,,
P:161,N,PARENT_HBN,PARENT,161,False,False,False,,,,,,
P:162,B,PARENT_HBN,PARENT,162,False,False,False,,,,,,
P:163,N,PARENT_HBN,PARENT,163,False,False,False,,,,,,
P:164,B,PARENT_HBN,PARENT,164,False,False,False,,,,,,
P:165,N,PARENT_HBN,PARENT,165,False,False,False,,,,,,
P:166,B,PARENT_HBN,PARENT,166,False,False,False,,,,,,
P:167,N,PARENT_HBN,PARENT,167,False,False,False,,,,,,
P:168,B,PARENT_HBN,PARENT,168,False,False,False,,,,,,
P:169,N,PARENT_HBN,PARENT,169,False,False,False,,,,,,
P:170,B,PARENT_HBN,PARENT,170,False,False,False,,,,,,
P:171,N,PARENT_HBN,PARENT,171,False,False,False,,,,,,
P:172,B,PARENT_HBN,PARENT,172,False,False,False,,,,,,
P:173,N,PARENT_HBN,PARENT,173,False,False,False,,,,,,
P:174,B,PARENT_HBN,PARENT,174,False,False,False,,,,,,
P:175,N,PARENT_HBN,PARENT,175,False,False,False,,,,,,
P:176,B,PARENT_HBN,PARENT,176,False,False,False,,,,,,
P:177,N,PARENT_HBN,PARENT,177,False,False,False,,,,,,
P:178,B,PARENT_HBN,PARENT,178,False,False,False,,,,,,
P:179,N,PARENT_HBN,PARENT,179,False,False,False,,,,,,
P:180,B,PARENT_HBN,PARENT,180,False,False,False,,,,,,
P:181,N,PARENT_HBN,PARENT,181,False,False,False,,,,,,
P:182,B,PARENT_HBN,PARENT,182,False,False,False,,,,,,
P:183,N,PARENT_HBN,PARENT,183,False,False,False,,,,,,
P:184,B,PARENT_HBN,PARENT,184,False,False,False,,,,,,
P:185,N,PARENT_HBN,PARENT,185,False,False,False,,,,,,
P:186,B,PARENT_HBN,PARENT,186,False,False,False,,,,,,
P:187,N,PARENT_HBN,PARENT,187,False,False,False,,,,,,
P:188,B,PARENT_HBN,PARENT,188,False,False,False,,,,,,
P:189,N,PARENT_HBN,PARENT,189,False,False,False,,,,,,
P:190,B,PARENT_HBN,PARENT,190,False,False,False,,,,,,
