gate,pass
Gate3A_parent_audit_is_accepted,True
Gate3D_hexagonal_edge_completion_seed_is_accepted,True
Gate3E_direct_30_site_attachment_was_rejected,True
simple_full_shell_reconstruction_does_not_create_30_site_15B_15N_rim,True
selected_annulus_is_n5_m2,True
selected_annulus_has_126_heavy_atoms,True
selected_annulus_has_30_outer_boundary_sites,True
selected_annulus_is_connected,True
selected_annulus_is_bipartite,True
selected_annulus_has_no_four_member_cycles,True
selected_annulus_has_only_degree2_or_degree3_atoms,True
15_alternating_seed_sites_are_attached_per_end,True
15_remaining_seed_sites_are_H_passivated_per_end,True
15_noncomplementary_outer_sites_are_H_passivated_per_end,True
all_inner_boundary_sites_are_H_passivated,True
all_BN_atoms_reach_total_coordination3,True
all_H_atoms_have_coordination1,True
all_heavy_edges_are_heteropolar_BN,True
combined_heavy_graph_is_connected,True
combined_heavy_graph_is_bipartite,True
combined_heavy_graph_has_no_four_member_cycles,True
combined_heavy_graph_girth_is_at_least6,True
attachment_mapping_is_angularly_local,True
attachment_created_cycles_have_length_at_least6,True
heavy_atom_population_error_is_within15_percent,True
outer_radius_error_is_within15_percent,True
inner_radius_proxy_error_is_within30_percent,True
no_coordinates_were_assigned,True
no_formal_charges_were_assigned,True
no_force_field_types_were_assigned,True
