atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1457,B1457,1.20686,1.08268,-0.12418
1458,N1458,1.20686,1.06835,-0.13851
1459,B1459,1.20615,1.06428,-0.14187
1460,N1460,1.20710,1.05310,-0.15400
1461,B1461,1.20689,1.04690,-0.15999
1462,N1462,1.20689,1.04061,-0.16628
1463,B1463,1.20694,1.04653,-0.16040
1464,N1464,1.20594,1.03858,-0.16736
1465,B1465,1.20630,1.05406,-0.15223
1466,N1466,1.20756,1.04758,-0.15997
1467,B1467,1.20709,1.06327,-0.14382
1468,N1468,1.20709,1.05852,-0.14857
1469,B1469,1.20587,1.10213,-0.10374
1470,N1470,1.20654,1.09685,-0.10968
1471,B1471,1.20628,1.16628,-0.04000
1472,N1472,1.20628,1.16947,-0.03681
1473,B1473,1.20681,1.21327,0.00646
1474,N1474,1.20681,1.22602,0.01921
1475,B1475,1.20717,1.26554,0.05837
1476,N1476,1.20697,1.27632,0.06935
1477,B1477,1.20774,1.31881,0.11108
1478,N1478,1.20674,1.31977,0.11303
1479,B1479,1.20727,1.34724,0.13996
1480,N1480,1.20629,1.34679,0.14050
1481,B1481,1.20700,1.33678,0.12978
1482,N1482,1.20700,1.34030,0.13330
1483,B1483,1.20737,1.33334,0.12597
1484,N1484,1.20737,1.33079,0.12342
1485,B1485,1.20614,1.32442,0.11828
1486,N1486,1.20688,1.32510,0.11821
1487,B1487,1.20613,1.30026,0.09413
1488,N1488,1.20613,1.30768,0.10154
1489,B1489,1.20674,1.25570,0.04896
1490,N1490,1.20769,1.27135,0.06366
1491,B1491,1.20740,1.22667,0.01926
1492,N1492,1.20641,1.23322,0.02681
1493,B1493,1.20736,1.20346,-0.00390
1494,N1494,1.20636,1.19969,-0.00668
1495,B1495,1.20660,1.20522,-0.00138
1496,N1496,1.20660,1.19746,-0.00914
1497,B1497,1.20640,1.22451,0.01811
1498,N1498,1.20640,1.22284,0.01644
1499,B1499,1.20657,1.27244,0.06587
1500,N1500,1.20724,1.27244,0.06520
1501,B1501,1.20486,1.31218,0.10732
1502,N1502,1.20263,1.30988,0.10726
1503,B1503,1.20534,1.32154,0.11619
1504,N1504,1.20218,1.31581,0.11363
1505,B1505,1.20495,1.28535,0.08040
1506,N1506,1.20285,1.28469,0.08184
1507,B1507,1.20589,1.23887,0.03297
1508,N1508,1.20281,1.23438,0.03157
1509,B1509,1.20520,1.19266,-0.01254
1510,N1510,1.20204,1.18825,-0.01378
1511,B1511,1.20463,1.14065,-0.06398
