calculation_type,frame,cluster,job,root,is_tracked_root,pair_rank,pair_label,orbital_role,orbital_index,orbital_spin,status,returncode,runtime_s,cube_size_bytes,cube_sha256,validation,nto_file,cube_file,transcript
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,52a->53a,hole,52,a,generated,0,1.0317062310059555,7259247,122a582b906b4cc5b596c73a7f909091b9fce4dc74b8bcbb12ec233721f5266d,valid,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s1.mo52a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_cube_generation/transcripts/frame003_PYR5_embedding_nto_s1_s2.s1.mo52a.log
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,52a->53a,particle,53,a,generated,0,1.045076101028826,7259247,b769848f63d211f9a2fc4a14ec8168698cb6083d6f50b50f6c60548f532c6a82,valid,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s1.mo53a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_cube_generation/transcripts/frame003_PYR5_embedding_nto_s1_s2.s1.mo53a.log
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,2,False,1,52a->53a,hole,52,a,generated,0,1.0259301220066845,7259247,58e250af4024d71d371061d2d20c20e80875e0db5c83b360de01b0cd6c83ff59,valid,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.mo52a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_cube_generation/transcripts/frame003_PYR5_embedding_nto_s1_s2.s2.mo52a.log
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,2,False,1,52a->53a,particle,53,a,generated,0,1.0256675620330498,7259247,1cc93d70b1d69520c9fab3141552864ce0dd48ab61bb2662f50c7a62359f0ce6,valid,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.mo53a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_cube_generation/transcripts/frame003_PYR5_embedding_nto_s1_s2.s2.mo53a.log
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,2,False,2,51a->54a,hole,51,a,generated,0,1.0271081019891426,7259247,960a6ddd19aed761885722aa1e6cdf72d45369a05c15f79225dcf610f9071571,valid,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.mo51a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_cube_generation/transcripts/frame003_PYR5_embedding_nto_s1_s2.s2.mo51a.log
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,2,False,2,51a->54a,particle,54,a,generated,0,1.0225471350131556,7259247,a8511eefb65aedfd917ae4e3a5b897840b2a38f4b2b5b23177cf1da090064a5e,valid,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.mo54a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_cube_generation/transcripts/frame003_PYR5_embedding_nto_s1_s2.s2.mo54a.log
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,1,False,1,52a->53a,hole,52,a,generated,0,1.0317099620006047,7259247,723fc04a0f97c7fbd20f7753a4a9f6dda666e1102342f7071c22a953760890b2,valid,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.mo52a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_cube_generation/transcripts/frame005_PYR2_embedding_nto_s1_s2.s1.mo52a.log
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,1,False,1,52a->53a,particle,53,a,generated,0,1.0329144560382701,7259247,5efa0def707a5f844ff55de485a712e336a7a33420bf48db2438fbb43238e27e,valid,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.mo53a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_cube_generation/transcripts/frame005_PYR2_embedding_nto_s1_s2.s1.mo53a.log
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,1,False,2,51a->54a,hole,51,a,generated,0,1.0325217299978249,7259247,de664440db548a586a04686932bfeda45e8df4836ddfa7902e484013d2cd319a,valid,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.mo51a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_cube_generation/transcripts/frame005_PYR2_embedding_nto_s1_s2.s1.mo51a.log
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,1,False,2,51a->54a,particle,54,a,generated,0,1.0447512139799073,7259247,44a5561cff9a582f7ab8885beff84d1b2e7c43049aeb42b0e3df94a495fc2ace,valid,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.nto,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.mo54a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_cube_generation/transcripts/frame005_PYR2_embedding_nto_s1_s2.s1.mo54a.log
