fragment,orca_atom_index_0based,orca_atom_index_1based,atom_id,element,atom_role,is_bridge_atom,is_attachment_center,stage1_fixed,stage2_fixed
QM_F06_LOWER_CAPPED_REPAIRED,0,1,A:LOWER:11:-5,N,ORIGINAL_FRAGMENT_ATOM,False,False,True,True
QM_F06_LOWER_CAPPED_REPAIRED,1,2,A:LOWER:13:-5,B,ORIGINAL_FRAGMENT_ATOM,False,True,False,False
QM_F06_LOWER_CAPPED_REPAIRED,2,3,A:LOWER:14:-4,N,ORIGINAL_FRAGMENT_ATOM,False,False,True,True
QM_F06_LOWER_CAPPED_REPAIRED,3,4,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,True,False,False,False
QM_F06_LOWER_CAPPED_REPAIRED,4,5,BR4:LOWER:00:2,N,ORIGINAL_FRAGMENT_ATOM,True,False,False,False
QM_F06_LOWER_CAPPED_REPAIRED,5,6,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,True,False,False,False
QM_F06_LOWER_CAPPED_REPAIRED,6,7,BR4:LOWER:00:4,N,ORIGINAL_FRAGMENT_ATOM,True,False,False,False
QM_F06_LOWER_CAPPED_REPAIRED,7,8,H4:LOWER:0054:0,H,ORIGINAL_FRAGMENT_ATOM,False,False,False,False
QM_F06_LOWER_CAPPED_REPAIRED,8,9,H4:LOWER:0055:0,H,ORIGINAL_FRAGMENT_ATOM,False,False,False,False
QM_F06_LOWER_CAPPED_REPAIRED,9,10,H4:LOWER:0056:0,H,ORIGINAL_FRAGMENT_ATOM,False,False,False,False
QM_F06_LOWER_CAPPED_REPAIRED,10,11,H4:LOWER:0057:0,H,ORIGINAL_FRAGMENT_ATOM,False,False,False,False
QM_F06_LOWER_CAPPED_REPAIRED,11,12,P:46,B,ORIGINAL_FRAGMENT_ATOM,False,False,True,True
QM_F06_LOWER_CAPPED_REPAIRED,12,13,P:48,B,ORIGINAL_FRAGMENT_ATOM,False,False,True,True
QM_F06_LOWER_CAPPED_REPAIRED,13,14,S:1680,N,ORIGINAL_FRAGMENT_ATOM,False,True,False,False
QM_F06_LOWER_CAPPED_REPAIRED,14,15,HCAP:LOWER:01,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_LOWER_CAPPED_REPAIRED,15,16,HCAP:LOWER:02,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_LOWER_CAPPED_REPAIRED,16,17,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_LOWER_CAPPED_REPAIRED,17,18,HCAP:LOWER:04,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_LOWER_CAPPED_REPAIRED,18,19,HCAP:LOWER:05,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_LOWER_CAPPED_REPAIRED,19,20,HCAP:LOWER:06,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_LOWER_CAPPED_REPAIRED,20,21,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
