atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1,B0001,1.20074,1.31676,0.11603
2,N0002,1.20074,1.28174,0.08100
3,B0003,1.20099,1.17972,-0.02127
4,N0004,1.20099,1.21228,0.01130
5,B0005,1.20162,1.16283,-0.03878
6,N0006,1.20162,1.14886,-0.05276
7,B0007,1.20097,1.09083,-0.11014
8,N0008,1.20016,1.11625,-0.08392
9,B0009,1.20124,1.18017,-0.02107
10,N0010,1.20049,1.15392,-0.04657
11,B0011,1.20167,1.11276,-0.08891
12,N0012,1.20080,1.13505,-0.06575
13,B0013,1.20168,1.08677,-0.11490
14,N0014,1.20168,1.12644,-0.07524
15,B0015,1.20133,1.23963,0.03830
16,N0016,1.20133,1.25517,0.05383
17,B0017,1.20128,1.39600,0.19472
18,N0018,1.20128,1.33544,0.13416
19,B0019,1.20153,1.41908,0.21755
20,N0020,1.20153,1.36491,0.16338
21,B0021,1.20144,1.23567,0.03424
22,N0022,1.20057,1.31278,0.11221
23,B0023,1.20092,1.32464,0.12371
24,N0024,1.20018,1.32884,0.12866
25,B0025,1.20140,1.41319,0.21179
26,N0026,1.20059,1.33754,0.13695
27,B0027,1.20119,1.29494,0.09375
28,N0028,1.20027,1.27309,0.07282
29,B0029,1.20248,1.09382,-0.10866
30,N0030,1.20151,1.15851,-0.04299
31,B0031,1.20127,1.19460,-0.00667
32,N0032,1.20127,1.12811,-0.07315
33,B0033,1.20141,1.04839,-0.15302
34,N0034,1.20141,1.08201,-0.11940
35,B0035,1.20100,1.11871,-0.08229
36,N0036,1.20008,1.08066,-0.11943
37,B0037,1.20171,1.05607,-0.14564
38,N0038,1.20090,1.05720,-0.14370
39,B0039,1.20131,1.15926,-0.04206
40,N0040,1.20057,1.08619,-0.11438
41,B0041,1.20103,1.14506,-0.05597
42,N0042,1.20016,1.09607,-0.10409
43,B0043,1.20109,1.07220,-0.12888
44,N0044,1.20109,1.10299,-0.09809
45,B0045,1.20082,1.19912,-0.00170
46,N0046,1.20082,1.15896,-0.04185
47,B0047,1.20087,1.13690,-0.06397
48,N0048,1.20087,1.17560,-0.02526
49,B0049,1.20123,1.27625,0.07502
50,N0050,1.20123,1.25713,0.05590
51,B0051,1.20126,1.34084,0.13957
52,N0052,1.20040,1.30897,0.10857
53,B0053,1.20163,1.34494,0.14331
54,N0054,1.20089,1.29974,0.09886
55,B0055,1.20128,1.36208,0.16080
56,N0056,1.20047,1.29301,0.09254
57,B0057,1.20143,1.33963,0.13820
58,N0058,1.20143,1.28918,0.08775
59,B0059,1.20089,1.27455,0.07366
60,N0060,1.20089,1.27612,0.07523
61,B0061,1.20233,1.24112,0.03879
62,N0062,1.20133,1.22579,0.02446
63,B0063,1.20168,1.19009,-0.01159
64,N0064,1.20137,1.18472,-0.01665
65,B0065,1.20167,1.12725,-0.07443
66,N0066,1.20080,1.12948,-0.07133
67,B0067,1.20190,1.13598,-0.06593
68,N0068,1.20049,1.12829,-0.07221
69,B0069,1.20097,1.15046,-0.05051
70,N0070,1.20016,1.14629,-0.05387
71,B0071,1.20162,1.11866,-0.08296
72,N0072,1.20070,1.13203,-0.06868
73,B0073,1.20217,1.20015,-0.00202
74,N0074,1.20099,1.21347,0.01249
75,B0075,1.20174,1.29004,0.08831
76,N0076,1.20074,1.28212,0.08138
77,B0077,1.20208,1.35252,0.15044
78,N0078,1.20089,1.33806,0.13717
79,B0079,1.20143,1.35786,0.15644
80,N0080,1.20051,1.36126,0.16075
81,B0081,1.20128,1.33455,0.13327
82,N0082,1.20047,1.36310,0.16263
83,B0083,1.20230,1.33863,0.13633
84,N0084,1.20089,1.34356,0.14267
85,B0085,1.20126,1.31134,0.11007
86,N0086,1.20040,1.28610,0.08571
87,B0087,1.20123,1.23288,0.03165
88,N0088,1.19997,1.24440,0.04443
89,B0089,1.20186,1.13606,-0.06580
90,N0090,1.20087,1.16968,-0.03119
91,B0091,1.20181,1.11134,-0.09047
92,N0092,1.20082,1.10834,-0.09247
93,B0093,1.20109,1.06724,-0.13385
94,N0094,1.20109,1.06651,-0.13457
95,B0095,1.20103,1.06091,-0.14012
96,N0096,1.20016,1.05910,-0.14107
97,B0097,1.20198,1.05165,-0.15034
98,N0098,1.20057,1.03446,-0.16611
99,B0099,1.20171,1.08554,-0.11618
100,N0100,1.20090,1.07245,-0.12845
101,B0101,1.20100,1.08706,-0.11393
102,N0102,1.20008,1.09545,-0.10463
103,B0103,1.20259,1.13408,-0.06852
104,N0104,1.20141,1.11937,-0.08204
105,B0105,1.20227,1.17148,-0.03078
106,N0106,1.20127,1.18929,-0.01198
107,B0107,1.20269,1.22038,0.01769
108,N0108,1.20151,1.24769,0.04619
109,B0109,1.20119,1.29670,0.09551
110,N0110,1.20027,1.29261,0.09234
111,B0111,1.20199,1.29988,0.09789
112,N0112,1.20059,1.28879,0.08820
113,B0113,1.20159,1.27036,0.06877
114,N0114,1.20018,1.26654,0.06637
115,B0115,1.20144,1.27659,0.07516
116,N0116,1.20057,1.26686,0.06629
117,B0117,1.20153,1.27197,0.07044
118,N0118,1.20058,1.26654,0.06596
119,B0119,1.20228,1.28615,0.08387
120,N0120,1.20128,1.27839,0.07711
121,B0121,1.20099,1.19699,-0.00400
122,N0122,1.20099,1.20817,0.00718
123,B0123,1.20162,1.16741,-0.03421
124,N0124,1.20070,1.17441,-0.02630
125,B0125,1.20097,1.11188,-0.08909
126,N0126,1.20016,1.11989,-0.08027
127,B0127,1.20190,1.12691,-0.07499
128,N0128,1.20049,1.12822,-0.07227
129,B0129,1.20167,1.15394,-0.04773
130,N0130,1.20080,1.16024,-0.04057
131,B0131,1.20168,1.16837,-0.03331
132,N0132,1.20137,1.17056,-0.03081
133,B0133,1.20133,1.25616,0.05483
134,N0134,1.20133,1.24277,0.04143
135,B0135,1.20128,1.30711,0.10583
136,N0136,1.20128,1.31692,0.11564
137,B0137,1.20153,1.35719,0.15565
138,N0138,1.20153,1.34450,0.14297
139,B0139,1.20144,1.37343,0.17199
140,N0140,1.20057,1.36327,0.16270
141,B0141,1.20159,1.35481,0.15322
142,N0142,1.20018,1.34876,0.14858
143,B0143,1.20140,1.30642,0.10502
144,N0144,1.20059,1.30691,0.10632
145,B0145,1.20119,1.25938,0.05819
146,N0146,1.20027,1.26851,0.06824
147,B0147,1.20151,1.21433,0.01283
148,N0148,1.20151,1.20580,0.00430
149,B0149,1.20227,1.14942,-0.05285
150,N0150,1.20127,1.16317,-0.03809
151,B0151,1.20259,1.09577,-0.10682
152,N0152,1.20141,1.11426,-0.08715
153,B0153,1.20100,1.05699,-0.14401
154,N0154,1.20008,1.05406,-0.14602
155,B0155,1.20171,1.02110,-0.18061
156,N0156,1.20090,1.00864,-0.19227
157,B0157,1.20198,1.06095,-0.14103
158,N0158,1.20057,1.03573,-0.16484
159,B0159,1.20103,1.09137,-0.10966
160,N0160,1.20016,1.07879,-0.12137
161,B0161,1.20109,1.10803,-0.09305
162,N0162,1.20109,1.11675,-0.08434
163,B0163,1.20181,1.15993,-0.04188
164,N0164,1.20082,1.16496,-0.03586
165,B0165,1.20087,1.23537,0.03451
166,N0166,1.19888,1.24292,0.04404
167,B0167,1.20123,1.27535,0.07411
168,N0168,1.20123,1.27037,0.06914
169,B0169,1.20126,1.28438,0.08312
170,N0170,1.20040,1.27501,0.07461
171,B0171,1.20230,1.26588,0.06358
172,N0172,1.20089,1.27938,0.07849
173,B0173,1.20128,1.25928,0.05800
174,N0174,1.20047,1.26877,0.06829
175,B0175,1.20143,1.25568,0.05425
176,N0176,1.20051,1.26408,0.06357
177,B0177,1.20110,1.27182,0.07072
178,N0178,1.19991,1.26085,0.06093
179,B0179,1.20074,1.25274,0.05200
180,N0180,1.20074,1.23875,0.03801
181,B0181,1.20168,1.19542,-0.00626
182,N0182,1.20042,1.17679,-0.02363
183,B0183,1.20167,1.15007,-0.05160
184,N0184,1.20080,1.15430,-0.04651
185,B0185,1.20190,1.12410,-0.07780
186,N0186,1.20049,1.12981,-0.07068
187,B0187,1.20097,1.12826,-0.07271
188,N0188,1.20016,1.10911,-0.09106
189,B0189,1.20162,1.16991,-0.03171
190,N0190,1.20070,1.17139,-0.02931
191,B0191,1.20099,1.20359,0.00261
192,N0192,1.20001,1.21840,0.01839
193,B0193,1.20074,1.28809,0.08736
194,N0194,1.20074,1.28711,0.08638
195,B0195,1.20110,1.33305,0.13196
196,N0196,1.19991,1.33718,0.13727
197,B0197,1.20143,1.35731,0.15588
198,N0198,1.20051,1.34733,0.14682
199,B0199,1.20128,1.36090,0.15962
200,N0200,1.20047,1.35953,0.15906
201,B0201,1.20230,1.32371,0.12142
202,N0202,1.20089,1.33643,0.13555
203,B0203,1.20126,1.29454,0.09328
204,N0204,1.20040,1.29563,0.09523
205,B0205,1.20123,1.24296,0.04173
206,N0206,1.19997,1.24862,0.04865
207,B0207,1.20087,1.18534,-0.01553
208,N0208,1.20087,1.19416,-0.00670
209,B0209,1.20082,1.13040,-0.07042
210,N0210,1.20082,1.13740,-0.06342
211,B0211,1.20109,1.07454,-0.12655
212,N0212,1.19983,1.06536,-0.13447
213,B0213,1.20103,1.01740,-0.18363
214,N0214,1.20016,1.00083,-0.19933
215,B0215,1.20198,1.01893,-0.18306
216,N0216,1.20057,1.00896,-0.19161
217,B0217,1.20171,1.05047,-0.15125
218,N0218,1.20090,1.05434,-0.14657
219,B0219,1.20100,1.09165,-0.10935
220,N0220,1.20008,1.09187,-0.10821
221,B0221,1.20259,1.15826,-0.04433
222,N0222,1.20141,1.16222,-0.03919
223,B0223,1.20127,1.21495,0.01369
