bridge_atoms_per_attachment,bonds_per_path,sample_count,minimum_endpoint_distance_nm,median_endpoint_distance_nm,maximum_endpoint_distance_nm,contour_length_nm,random_seed
4,5,40000,0.03735063759842717,0.4921471764731986,0.6586054098815888,0.724865,35004
5,6,40000,0.03146588873766058,0.5476056965363182,0.7770019786815101,0.8698379999999999,35005
6,7,40000,0.012913376715850133,0.5981881988378743,0.9059572707229098,1.014811,35006
