gate,pass
Gate3M_graph_is_accepted,True
Gate3P2_refined_coordinates_are_accepted,True
graph_contains_2316_nodes,True
coordinates_exist_for_all_2316_nodes,True
graph_contains_2112_heavy_and_204_H_nodes,True
graph_has_no_missing_edge_nodes,True
graph_has_no_self_edges,True
graph_has_no_duplicate_edges,True
graph_is_connected,True
all_heavy_atoms_are_three_coordinate,True
all_H_atoms_are_one_coordinate,True
all_heavy_heavy_edges_are_BN,True
all_H_edges_are_BH_or_NH,True
102_BH_and_102_NH_bonds_are_present,True
BN_bond_deviation_is_at_most0p003nm,True
BH_and_NH_deviations_are_at_most0p002nm,True
local_chemical_environments_are_fully_enumerated,True
parameterization_critical_centers_are_explicitly_identified,True
force_field_coverage_is_not_assumed,True
no_topology_charges_parameters_minimization_MD_or_QM_generated,True
