node_id,element,node_type,end,region,total_degree,B_neighbors,N_neighbors,H_neighbors,environment_signature
A:LOWER:-10:-2,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:-10:-4,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:-10:-6,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,3,2,0,1,"center=N|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ANNULUS_INTERIOR:2,ANNULUS_OUTER_PASSIVANT_H:1"
A:LOWER:-10:0,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:-10:2,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:-10:4,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:-10:6,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,3,2,0,1,"center=N|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ANNULUS_INTERIOR:2,ANNULUS_OUTER_PASSIVANT_H:1"
A:LOWER:-11:-1,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:-11:-3,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:-11:-5,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:LOWER:-11:1,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
