frame,time_ps,lumen_occupancy,initial_lumen_waters_retained,initial_lumen_identity_retention_fraction,minimum_CAP_OW_distance_nm
0,0.0,428,428,1.0,0.22018842385889495
1,0.5,427,425,0.9929906542056075,0.18324282210954362
2,1.0,426,423,0.9883177570093458,0.18334122826442475
3,1.5,427,424,0.9906542056074766,0.17888881661571693
4,2.0,429,425,0.9929906542056075,0.17863350931140543
5,2.5,427,424,0.9906542056074766,0.17371820796231296
6,3.0,428,425,0.9929906542056075,0.1931889492390704
7,3.5,427,424,0.9906542056074766,0.200352197446304
8,4.0,426,422,0.985981308411215,0.20541881515176133
9,4.5,427,423,0.9883177570093458,0.19108885454854668
10,5.0,426,422,0.985981308411215,0.18703485794379224
11,5.5,425,422,0.985981308411215,0.19234045893329363
12,6.0,424,422,0.985981308411215,0.1834254955417787
13,6.5,422,420,0.9813084112149533,0.17508264523649453
14,7.0,424,421,0.9836448598130841,0.17530807677779317
15,7.5,423,421,0.9836448598130841,0.1895419477682442
16,8.0,421,419,0.9789719626168224,0.17814625198761092
17,8.5,421,419,0.9789719626168224,0.19757231303607864
18,9.0,423,421,0.9836448598130841,0.18515396919749927
19,9.5,422,420,0.9813084112149533,0.18797857844299087
20,10.0,421,419,0.9789719626168224,0.16975868497322852
21,10.5,422,420,0.9813084112149533,0.19462777709945966
22,11.0,420,418,0.9766355140186916,0.19558649067172157
23,11.5,419,417,0.9742990654205608,0.19239543399287892
24,12.0,417,415,0.969626168224299,0.1930001708511235
25,12.5,417,415,0.969626168224299,0.18591148723347242
26,13.0,416,414,0.9672897196261683,0.1830219385724962
27,13.5,416,414,0.9672897196261683,0.193778144022959
28,14.0,415,413,0.9649532710280374,0.178252517233537
29,14.5,417,415,0.969626168224299,0.18813826885905402
30,15.0,416,414,0.9672897196261683,0.1904389466099289
31,15.5,416,414,0.9672897196261683,0.1837388239986371
32,16.0,417,415,0.969626168224299,0.18733933725393417
33,16.5,416,414,0.9672897196261683,0.19298203644661252
34,17.0,415,413,0.9649532710280374,0.18879093511481437
35,17.5,414,412,0.9626168224299065,0.17736124543728038
36,18.0,417,415,0.969626168224299,0.19458176850987052
37,18.5,415,413,0.9649532710280374,0.18944915121478262
38,19.0,414,412,0.9626168224299065,0.19426286734808074
39,19.5,416,414,0.9672897196261683,0.19295877010671483
40,20.0,416,414,0.9672897196261683,0.17827225375853534
