role,file,size_bytes,sha256
Lele_2022_primary_article,runs/phase1A/day024_chemical_end_rim_design/37_r2_lele_si_parameter_file_audit/raw/jp1c09648.pdf,8390448,3f997ca60f0242bfc85cd54d8d6bc5a9453ec2b2180fee603e6aaeb6defbeb45
Lele_2022_supporting_information,runs/phase1A/day024_chemical_end_rim_design/37_r2_lele_si_parameter_file_audit/raw/jp1c09648_si_001.pdf,199670,6fa080473219004e8ed753788943243ac6ffa27597063d24716b7eb36195d040
Lele_2022_ReaxFF_parameter_file,runs/phase1A/day024_chemical_end_rim_design/37_r2_lele_si_parameter_file_audit/raw/jp1c09648_si_002.txt,21491,5c5f0826e0dd7b1b7bc6d843437b1325f3d4fa6931046c015ab1ecbd904f47ae
Gate3R5_article_audit_summary,runs/phase1A/day024_chemical_end_rim_design/36_r2_lele_primary_article_content_audit/lele_2022_primary_article_content_audit_summary.csv,1011,8cfddb0dff83b5d44346610d68a99fd1d26c3bbc6b189131501cdb32442e62f0
