label,frame,timestep,waters_contacting_any_pair,waters_contacting_multiple_pairs,maximum_pairs_contacted_by_one_water
day007_fieldZ_0_to_20k,1,0,19,0,1
day007_fieldZ_0_to_20k,2,1000,16,0,1
day007_fieldZ_0_to_20k,3,2000,16,0,1
day007_fieldZ_0_to_20k,4,3000,15,0,1
day007_fieldZ_0_to_20k,5,4000,14,0,1
day007_fieldZ_0_to_20k,6,5000,16,0,1
day007_fieldZ_0_to_20k,7,6000,19,0,1
day007_fieldZ_0_to_20k,8,7000,17,0,1
day007_fieldZ_0_to_20k,9,8000,16,0,1
day007_fieldZ_0_to_20k,10,9000,17,0,1
day007_fieldZ_0_to_20k,11,10000,18,0,1
day007_fieldZ_0_to_20k,12,11000,20,0,1
day007_fieldZ_0_to_20k,13,12000,20,0,1
day007_fieldZ_0_to_20k,14,13000,19,0,1
day007_fieldZ_0_to_20k,15,14000,20,0,1
day007_fieldZ_0_to_20k,16,15000,19,0,1
day007_fieldZ_0_to_20k,17,16000,19,0,1
day007_fieldZ_0_to_20k,18,17000,19,0,1
day007_fieldZ_0_to_20k,19,18000,19,0,1
day007_fieldZ_0_to_20k,20,19000,19,0,1
day007_fieldZ_0_to_20k,21,20000,19,0,1
