pair_index,positive_atom_id,negative_atom_id,early_mean,early_std,early_n_frames,late_mean,late_std,late_n_frames,condition,delta_late_minus_early,relative_change
1,107285,107286,0.0,0.0,6,0.0,0.0,6,replica01,0.0,
2,107281,107282,0.0,0.0,6,0.0,0.0,6,replica01,0.0,
3,107283,107284,4.666666666666667,0.5163977794943224,6,2.8333333333333335,0.408248290463863,6,replica01,-1.8333333333333335,-0.39285714285714285
4,107291,107292,1.6666666666666667,0.5163977794943222,6,1.1666666666666667,0.408248290463863,6,replica01,-0.5,-0.3
5,107287,107288,2.1666666666666665,0.4082482904638631,6,2.0,0.0,6,replica01,-0.16666666666666652,-0.07692307692307686
6,107289,107290,1.0,0.0,6,0.3333333333333333,0.5163977794943223,6,replica01,-0.6666666666666667,-0.6666666666666667
7,107295,107296,0.0,0.0,6,0.0,0.0,6,replica01,0.0,
8,107297,107298,1.0,0.0,6,1.8333333333333333,0.408248290463863,6,replica01,0.8333333333333333,0.8333333333333333
9,107293,107294,1.8333333333333333,0.408248290463863,6,1.8333333333333333,0.408248290463863,6,replica01,0.0,0.0
10,107301,107302,1.0,0.0,6,0.3333333333333333,0.5163977794943223,6,replica01,-0.6666666666666667,-0.6666666666666667
11,107303,107304,0.3333333333333333,0.5163977794943222,6,0.8333333333333334,0.983192080250175,6,replica01,0.5,1.5
12,107299,107300,0.0,0.0,6,0.0,0.0,6,replica01,0.0,
