label,pair_index,positive_atom_id,negative_atom_id,cutoff_A,n_frames,mean_contact_count,std_contact_count,minimum_contact_count,maximum_contact_count,mean_minimum_distance_A,minimum_observed_distance_A
day008_fieldZ_replica01_0_to_20k,1,107285,107286,6.0,21,0.0,0.0,0,0,7.451314163434212,6.782393886379643
day008_fieldZ_replica01_0_to_20k,2,107281,107282,6.0,21,0.0,0.0,0,0,6.905344305228565,6.445400545109669
day008_fieldZ_replica01_0_to_20k,3,107283,107284,6.0,21,3.5714285714285716,0.8701395618766318,2,5,4.675362914423857,4.185395343333768
day008_fieldZ_replica01_0_to_20k,4,107291,107292,6.0,21,1.2857142857142858,0.46291004988627577,1,2,4.668399290822221,4.406455366845327
day008_fieldZ_replica01_0_to_20k,5,107287,107288,6.0,21,1.8571428571428572,0.4780914437337576,1,3,4.630678593721934,4.152721874867132
day008_fieldZ_replica01_0_to_20k,6,107289,107290,6.0,21,0.5714285714285714,0.50709255283711,0,1,6.013082542095684,5.767291689353764
day008_fieldZ_replica01_0_to_20k,7,107295,107296,6.0,21,0.0,0.0,0,0,8.814258721090201,7.941614594652651
day008_fieldZ_replica01_0_to_20k,8,107297,107298,6.0,21,1.2380952380952381,0.4364357804719847,1,2,5.107148530845553,4.217965867109407
day008_fieldZ_replica01_0_to_20k,9,107293,107294,6.0,21,1.9523809523809523,0.3842122429322726,1,3,4.156339171163658,3.5112657276258687
day008_fieldZ_replica01_0_to_20k,10,107301,107302,6.0,21,0.7142857142857143,0.4629100498862757,0,1,5.540819483597177,4.613260314571467
day008_fieldZ_replica01_0_to_20k,11,107303,107304,6.0,21,0.5238095238095238,0.6796357567879738,0,2,6.031558250337561,5.633858330664697
day008_fieldZ_replica01_0_to_20k,12,107299,107300,6.0,21,0.0,0.0,0,0,7.24639068540657,6.102912196025759
