label,frame,timestep,time_from_first_frame_fs,pair_index,positive_atom_id,negative_atom_id,cutoff_A,contact_count,contact_fraction,minimum_distance_A
day008_fieldZ_replica01_0_to_20k,1,0,0.0,1,107285,107286,6.0,0,0.0,7.7802332574287245
day008_fieldZ_replica01_0_to_20k,1,0,0.0,2,107281,107282,6.0,0,0.0,6.445400545109669
day008_fieldZ_replica01_0_to_20k,1,0,0.0,3,107283,107284,6.0,4,0.00013339113615900224,4.512945474964217
day008_fieldZ_replica01_0_to_20k,1,0,0.0,4,107291,107292,6.0,1,3.334778403975056e-05,4.641307129462561
day008_fieldZ_replica01_0_to_20k,1,0,0.0,5,107287,107288,6.0,3,0.00010004335211925168,4.460119430015302
day008_fieldZ_replica01_0_to_20k,1,0,0.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.767291689353764
day008_fieldZ_replica01_0_to_20k,1,0,0.0,7,107295,107296,6.0,0,0.0,9.247391798772231
day008_fieldZ_replica01_0_to_20k,1,0,0.0,8,107297,107298,6.0,1,3.334778403975056e-05,4.612575308610146
day008_fieldZ_replica01_0_to_20k,1,0,0.0,9,107293,107294,6.0,2,6.669556807950112e-05,4.1567809973584176
day008_fieldZ_replica01_0_to_20k,1,0,0.0,10,107301,107302,6.0,1,3.334778403975056e-05,5.171676727135991
day008_fieldZ_replica01_0_to_20k,1,0,0.0,11,107303,107304,6.0,0,0.0,6.302102653083334
day008_fieldZ_replica01_0_to_20k,1,0,0.0,12,107299,107300,6.0,0,0.0,6.37222264539619
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,1,107285,107286,6.0,0,0.0,7.303488888195833
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,2,107281,107282,6.0,0,0.0,6.5960105762195385
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,3,107283,107284,6.0,4,0.00013339113615900224,4.599760235055734
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,4,107291,107292,6.0,1,3.334778403975056e-05,4.550224788952736
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,5,107287,107288,6.0,2,6.669556807950112e-05,4.5716166954371875
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.9313501018571655
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,7,107295,107296,6.0,0,0.0,9.304743485986057
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,8,107297,107298,6.0,1,3.334778403975056e-05,4.525795394226304
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,9,107293,107294,6.0,2,6.669556807950112e-05,3.9725161359017793
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,10,107301,107302,6.0,1,3.334778403975056e-05,4.791085134914637
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,11,107303,107304,6.0,0,0.0,6.168782825647212
day008_fieldZ_replica01_0_to_20k,2,1000,50.0,12,107299,107300,6.0,0,0.0,6.523491477153935
day008_fieldZ_replica01_0_to_20k,3,2000,100.0,1,107285,107286,6.0,0,0.0,7.296533193921618
day008_fieldZ_replica01_0_to_20k,3,2000,100.0,2,107281,107282,6.0,0,0.0,6.770468772020147
day008_fieldZ_replica01_0_to_20k,3,2000,100.0,3,107283,107284,6.0,5,0.0001667389201987528,4.48610782416116
day008_fieldZ_replica01_0_to_20k,3,2000,100.0,4,107291,107292,6.0,2,6.669556807950112e-05,4.614464470553438
