pair_index,positive_atom_id,negative_atom_id,original_early_mean,original_late_mean,original_delta,replica_early_mean,replica_late_mean,replica_delta,original_response,replica_response,same_response_class,both_active
1,107285,107286,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,increase,unchanged,False,True
2,107281,107282,0.16666666666666666,0.0,-0.16666666666666666,0.0,0.0,0.0,unchanged,unchanged,True,False
3,107283,107284,4.166666666666667,4.5,0.33333333333333304,4.666666666666667,2.8333333333333335,-1.8333333333333335,increase,decrease,False,True
4,107291,107292,2.0,1.0,-1.0,1.6666666666666667,1.1666666666666667,-0.5,decrease,decrease,True,True
5,107287,107288,1.0,3.0,2.0,2.1666666666666665,2.0,-0.16666666666666652,increase,unchanged,False,True
6,107289,107290,1.0,1.0,0.0,1.0,0.3333333333333333,-0.6666666666666667,unchanged,decrease,False,True
7,107295,107296,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,True,False
8,107297,107298,2.6666666666666665,3.8333333333333335,1.166666666666667,1.0,1.8333333333333333,0.8333333333333333,increase,increase,True,True
9,107293,107294,2.0,3.0,1.0,1.8333333333333333,1.8333333333333333,0.0,increase,unchanged,False,True
10,107301,107302,1.0,0.8333333333333334,-0.16666666666666663,1.0,0.3333333333333333,-0.6666666666666667,unchanged,decrease,False,True
11,107303,107304,2.0,1.0,-1.0,0.3333333333333333,0.8333333333333334,0.5,decrease,increase,False,True
12,107299,107300,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,True,False
