label,pair_index,positive_atom_id,negative_atom_id,cutoff_A,n_frames,mean_contact_count,std_contact_count,minimum_contact_count,maximum_contact_count,mean_minimum_distance_A,minimum_observed_distance_A
day007_fieldZ_0_to_20k,1,107285,107286,6.0,21,0.23809523809523808,0.4364357804719847,0,1,6.8850731299373225,3.3522748052628395
day007_fieldZ_0_to_20k,2,107281,107282,6.0,21,0.047619047619047616,0.21821789023599236,0,1,7.620195140701764,5.994813138614081
day007_fieldZ_0_to_20k,3,107283,107284,6.0,21,4.0476190476190474,0.9206622874969126,2,5,4.711433570520133,3.8197144880213236
day007_fieldZ_0_to_20k,4,107291,107292,6.0,21,1.4285714285714286,0.50709255283711,1,2,5.140208154640544,4.222390538545671
day007_fieldZ_0_to_20k,5,107287,107288,6.0,21,2.2857142857142856,1.0555973258234952,0,4,5.230411975896741,4.317550629697353
day007_fieldZ_0_to_20k,6,107289,107290,6.0,21,1.0,0.0,1,1,5.447569677117932,4.914778240124371
day007_fieldZ_0_to_20k,7,107295,107296,6.0,21,0.0,0.0,0,0,8.905830601256751,7.74772916214809
day007_fieldZ_0_to_20k,8,107297,107298,6.0,21,3.1904761904761907,0.8135752957807667,2,4,4.025567965514092,3.814090659825618
day007_fieldZ_0_to_20k,9,107293,107294,6.0,21,3.0,0.7745966692414834,2,4,4.2749280685959965,3.569201274795244
day007_fieldZ_0_to_20k,10,107301,107302,6.0,21,0.9523809523809523,0.21821789023599236,0,1,5.126874332732898,4.837213752771323
day007_fieldZ_0_to_20k,11,107303,107304,6.0,21,1.7142857142857142,0.4629100498862757,1,2,4.239242872924624,3.672865064224384
day007_fieldZ_0_to_20k,12,107299,107300,6.0,21,0.0,0.0,0,0,9.065284458654695,8.1426486504331
