label,frame,timestep,time_from_first_frame_fs,pair_index,positive_atom_id,negative_atom_id,cutoff_A,contact_count,contact_fraction,minimum_distance_A
day007_fieldfree,1,6000,0.0,1,107285,107286,6.0,1,3.334778403975056e-05,5.289797895005062
day007_fieldfree,1,6000,0.0,2,107281,107282,6.0,1,3.334778403975056e-05,5.572613344706414
day007_fieldfree,1,6000,0.0,3,107283,107284,6.0,2,6.669556807950112e-05,4.937173432238328
day007_fieldfree,1,6000,0.0,4,107291,107292,6.0,2,6.669556807950112e-05,4.896660974582577
day007_fieldfree,1,6000,0.0,5,107287,107288,6.0,3,0.00010004335211925168,5.3579420349608124
day007_fieldfree,1,6000,0.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.44914497259891
day007_fieldfree,1,6000,0.0,7,107295,107296,6.0,0,0.0,9.045765121867802
day007_fieldfree,1,6000,0.0,8,107297,107298,6.0,1,3.334778403975056e-05,5.1478063685806985
day007_fieldfree,1,6000,0.0,9,107293,107294,6.0,1,3.334778403975056e-05,5.178538598871303
day007_fieldfree,1,6000,0.0,10,107301,107302,6.0,1,3.334778403975056e-05,5.873355608168129
day007_fieldfree,1,6000,0.0,11,107303,107304,6.0,0,0.0,6.0906275982036515
day007_fieldfree,1,6000,0.0,12,107299,107300,6.0,0,0.0,6.74750923186475
day007_fieldfree,2,8000,100.0,1,107285,107286,6.0,1,3.334778403975056e-05,5.981517286608803
day007_fieldfree,2,8000,100.0,2,107281,107282,6.0,1,3.334778403975056e-05,5.280403322370365
day007_fieldfree,2,8000,100.0,3,107283,107284,6.0,2,6.669556807950112e-05,5.208887323603762
day007_fieldfree,2,8000,100.0,4,107291,107292,6.0,2,6.669556807950112e-05,5.441499769365061
day007_fieldfree,2,8000,100.0,5,107287,107288,6.0,3,0.00010004335211925168,5.220599477071573
day007_fieldfree,2,8000,100.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.567893474196502
day007_fieldfree,2,8000,100.0,7,107295,107296,6.0,0,0.0,8.994228457182974
day007_fieldfree,2,8000,100.0,8,107297,107298,6.0,2,6.669556807950112e-05,5.216092638411344
day007_fieldfree,2,8000,100.0,9,107293,107294,6.0,2,6.669556807950112e-05,5.724930764646851
day007_fieldfree,2,8000,100.0,10,107301,107302,6.0,1,3.334778403975056e-05,5.279643192489431
day007_fieldfree,2,8000,100.0,11,107303,107304,6.0,0,0.0,6.078644366139546
day007_fieldfree,2,8000,100.0,12,107299,107300,6.0,0,0.0,6.8720127191747835
day007_fieldfree,3,10000,200.0,1,107285,107286,6.0,0,0.0,6.500600097683289
day007_fieldfree,3,10000,200.0,2,107281,107282,6.0,1,3.334778403975056e-05,5.176242661516168
day007_fieldfree,3,10000,200.0,3,107283,107284,6.0,3,0.00010004335211925168,4.858171059153847
day007_fieldfree,3,10000,200.0,4,107291,107292,6.0,2,6.669556807950112e-05,5.688454002626725
day007_fieldfree,3,10000,200.0,5,107287,107288,6.0,3,0.00010004335211925168,5.393683250803667
day007_fieldfree,3,10000,200.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.382228202343335
day007_fieldfree,3,10000,200.0,7,107295,107296,6.0,0,0.0,8.654710281112822
day007_fieldfree,3,10000,200.0,8,107297,107298,6.0,2,6.669556807950112e-05,4.657275992476721
day007_fieldfree,3,10000,200.0,9,107293,107294,6.0,0,0.0,6.006669388271675
day007_fieldfree,3,10000,200.0,10,107301,107302,6.0,1,3.334778403975056e-05,5.144327673272768
day007_fieldfree,3,10000,200.0,11,107303,107304,6.0,0,0.0,6.087244476772721
day007_fieldfree,3,10000,200.0,12,107299,107300,6.0,0,0.0,6.950022046267194
day007_fieldfree,4,12000,300.0,1,107285,107286,6.0,0,0.0,6.431681227330842
day007_fieldfree,4,12000,300.0,2,107281,107282,6.0,1,3.334778403975056e-05,5.099462629179667
day007_fieldfree,4,12000,300.0,3,107283,107284,6.0,3,0.00010004335211925168,4.780671854457281
day007_fieldfree,4,12000,300.0,4,107291,107292,6.0,1,3.334778403975056e-05,5.557887539344423
