label,pair_index,positive_atom_id,negative_atom_id,cutoff_A,n_frames,mean_contact_count,std_contact_count,minimum_contact_count,maximum_contact_count,mean_minimum_distance_A,minimum_observed_distance_A
day008_fieldfree_replica01,1,107285,107286,6.0,21,0.38095238095238093,0.49761335152811925,0,1,6.521538361524206,4.430039916298719
day008_fieldfree_replica01,2,107281,107282,6.0,21,0.6666666666666666,0.48304589153964794,0,1,5.861947058016729,5.289517483372182
day008_fieldfree_replica01,3,107283,107284,6.0,21,3.142857142857143,1.01418510567422,1,5,4.930537193552774,4.431719694430142
day008_fieldfree_replica01,4,107291,107292,6.0,21,1.2380952380952381,0.43643578047198484,1,2,5.057033752796826,4.52624342473977
day008_fieldfree_replica01,5,107287,107288,6.0,21,3.3333333333333335,0.6582805886043833,2,4,4.998396868045158,4.35716774522166
day008_fieldfree_replica01,6,107289,107290,6.0,21,0.23809523809523808,0.4364357804719847,0,1,6.567209309025985,5.721461434187949
day008_fieldfree_replica01,7,107295,107296,6.0,21,0.0,0.0,0,0,8.81187116428207,8.292960071651136
day008_fieldfree_replica01,8,107297,107298,6.0,21,1.4285714285714286,0.50709255283711,1,2,5.101456786787531,4.612575308610146
day008_fieldfree_replica01,9,107293,107294,6.0,21,1.6666666666666667,0.48304589153964805,1,2,5.228512706417877,4.1567809973584176
day008_fieldfree_replica01,10,107301,107302,6.0,21,0.38095238095238093,0.4976133515281193,0,1,6.514392406318039,5.0074477620839914
day008_fieldfree_replica01,11,107303,107304,6.0,21,0.3333333333333333,0.483045891539648,0,1,6.1786488734444,5.59338972985076
day008_fieldfree_replica01,12,107299,107300,6.0,21,0.09523809523809523,0.30079260375911915,0,1,6.633184802805966,5.953861872171708
