temperature_K,kappa_ref_ps_inv,mean_maximum_PYR5_population_from_high_states,mean_final_PYR5_population_from_high_states,mean_final_l1_distance_to_Gibbs_from_high_states,ensemble_Gibbs_PYR5_population
150.0,0.1,0.00016576064920757123,0.00016039163511434576,1.9996337877660444,0.9999772855181392
150.0,1.0,0.0013475906593357933,0.001345287128093911,1.9972639967801291,0.9999772855181392
150.0,10.0,0.011483799601886719,0.011483799601886719,1.9769869718325186,0.9999772855181392
200.0,0.1,0.00016602189881140497,0.00016071434759624536,1.9996329434352518,0.999977186065219
200.0,1.0,0.001369094650131774,0.0013669080596701597,1.9972205560111178,0.999977186065219
200.0,10.0,0.012177225786910481,0.012177225786910481,1.9755999205565888,0.999977186065219
250.0,0.1,0.0001662090265478986,0.00016096434607920315,1.9996270399253049,0.9999744843087716
250.0,1.0,0.0013862525239524816,0.0013841548767592185,1.997180658864078,0.9999744843087716
250.0,10.0,0.012655443416528153,0.012655443416528153,1.9746380817845683,0.9999744843087716
300.0,0.1,0.000166342653100931,0.00016116529575921812,1.9995789553244434,0.9999506429580107
300.0,1.0,0.001400233235591939,0.0013982142752882712,1.9971048573654813,0.9999506429580107
300.0,10.0,0.012999785137305847,0.012999785137305847,1.9739017156414007,0.9999506429580107
