temperature_K,frame,snapshot_time_ps,PYR2_equilibrium_population,PYR3_equilibrium_population,PYR4_equilibrium_population,PYR5_equilibrium_population
250.0,17,85.0,2.545285744173283e-07,9.233450653174609e-07,1.914848627652856e-05,0.9999796736400832
250.0,18,90.0,2.5169046437591623e-07,9.215610883050898e-07,1.924986905329395e-05,0.999979576879394
250.0,19,95.0,8.13046274686584e-07,1.917213121396995e-06,2.351383793837233e-05,0.9999737559026659
250.0,20,100.0,6.361302787855808e-07,1.9477383958796306e-06,2.2898762647136066e-05,0.9999745173686778
300.0,0,0.0,1.405221404027285e-05,1.0064870682452183e-05,2.7982336726528995e-05,0.9999479005785497
300.0,1,5.0,3.2718975285599124e-06,7.280499836410437e-06,2.2640470451041713e-05,0.999966807132184
300.0,2,10.0,5.191174632502842e-06,7.826373330209787e-06,2.5648439085739745e-05,0.9999613340129516
300.0,3,15.0,1.1953060592788185e-06,4.8293825189375e-06,1.7418851350803712e-05,0.9999765564600718
300.0,4,20.0,2.0055756965505535e-06,3.2235780612012477e-06,2.3643282398942007e-05,0.9999711275638427
300.0,5,25.0,2.8127055623944145e-05,5.335665698134357e-05,3.593087504270354e-05,0.9998825854123521
300.0,6,30.0,7.5998320525932164e-06,5.024689200570405e-06,2.5733673908313294e-05,0.9999616418048398
300.0,7,35.0,5.600079286428724e-06,2.0848807794195444e-05,3.14046500964476e-05,0.9999421464628225
300.0,8,40.0,1.5782201719502873e-05,2.0854772683143513e-05,3.274847923779821e-05,0.9999306145463592
300.0,9,45.0,1.731978143000834e-06,4.2544811819677384e-06,2.1336573488980067e-05,0.9999726769671863
300.0,10,50.0,1.4614707396677498e-05,2.6117419364750605e-05,2.9472132169622247e-05,0.99992979574107
300.0,11,55.0,6.039422339195628e-06,1.8017176015780226e-05,3.242641229395061e-05,0.9999435169893505
300.0,12,60.0,1.8404649638099698e-05,1.4982482793015122e-05,2.9222336532302512e-05,0.999937390531036
300.0,13,65.0,4.289057665516463e-06,1.3937805503009937e-05,2.5513040040098405e-05,0.9999562600967913
300.0,14,70.0,7.028626644435449e-06,6.801391552300241e-06,4.3708040149537655e-05,0.9999424619416536
300.0,15,75.0,8.50969190751053e-06,1.4383200043345796e-05,3.344936847371478e-05,0.9999436577395756
300.0,16,80.0,6.770731023987593e-06,1.6695332756890796e-05,3.2678687904129806e-05,0.9999438552483151
300.0,17,85.0,2.5208744076142987e-06,3.107196363969455e-06,2.1021597582311445e-05,0.9999733503316456
300.0,18,90.0,2.518064204798499e-06,3.0241423388315107e-06,2.1430974171279123e-05,0.9999730268192853
300.0,19,95.0,7.892147446627502e-06,1.080724518054138e-05,2.9830235747054444e-05,0.9999514703716258
300.0,20,100.0,6.275722039089995e-06,1.083576208621311e-05,2.7563149161232658e-05,0.999955325366713
