edge_id,end,edge_type,source_node,target_node,source_element,target_element,length_nm,target_length_nm,deviation_nm,absolute_deviation_nm
E:49,PARENT,PARENT_BN,P:32,P:33,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:50,PARENT,PARENT_BN,P:33,P:90,N,B,0.1446409347314931,0.144973,-0.00033206526850690365,0.00033206526850690365
E:51,PARENT,PARENT_BN,P:33,P:92,N,B,0.14461673485458038,0.144973,-0.0003562651454196153,0.0003562651454196153
E:52,PARENT,PARENT_BN,P:34,P:35,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:53,PARENT,PARENT_BN,P:35,P:92,N,B,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554
E:54,PARENT,PARENT_BN,P:35,P:94,N,B,0.14483438818181277,0.144973,-0.00013861181818722312,0.00013861181818722312
E:55,PARENT,PARENT_BN,P:36,P:37,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:56,PARENT,PARENT_BN,P:37,P:94,N,B,0.14506550244630867,0.144973,9.250244630867877e-05,9.250244630867877e-05
E:57,PARENT,PARENT_BN,P:37,P:96,N,B,0.1443398766800084,0.144973,-0.000633123319991602,0.000633123319991602
E:58,PARENT,PARENT_BN,P:38,P:39,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:59,PARENT,PARENT_BN,P:39,P:96,N,B,0.14500344823486094,0.144973,3.0448234860952494e-05,3.0448234860952494e-05
E:60,PARENT,PARENT_BN,P:39,P:98,N,B,0.1443398766800084,0.144973,-0.000633123319991602,0.000633123319991602
E:61,PARENT,PARENT_BN,P:40,P:41,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:62,PARENT,PARENT_BN,P:41,P:98,N,B,0.14506550244630867,0.144973,9.250244630867877e-05,9.250244630867877e-05
E:63,PARENT,PARENT_BN,P:41,P:100,N,B,0.14483438818181277,0.144973,-0.00013861181818722312,0.00013861181818722312
E:64,PARENT,PARENT_BN,P:42,P:43,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:65,PARENT,PARENT_BN,P:43,P:100,N,B,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554
E:66,PARENT,PARENT_BN,P:43,P:102,N,B,0.14461673485458038,0.144973,-0.0003562651454196153,0.0003562651454196153
E:67,PARENT,PARENT_BN,P:44,P:45,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:68,PARENT,PARENT_BN,P:45,P:102,N,B,0.1446409347314931,0.144973,-0.00033206526850690365,0.00033206526850690365
E:69,PARENT,PARENT_BN,P:45,P:104,N,B,0.14442298985964805,0.144973,-0.000550010140351942,0.000550010140351942
E:70,PARENT,PARENT_BN,P:46,P:47,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:71,PARENT,PARENT_BN,P:47,P:104,N,B,0.14528936643815327,0.144973,0.00031636643815327603,0.00031636643815327603
