end,bridge_paths,selected_gap_nm,annulus_center_offset_nm,annulus_endpoint_fit_RMS_nm,endpoint_distance_minimum_nm,endpoint_distance_mean_nm,endpoint_distance_maximum_nm,maximum_bridge_bond_deviation_nm,conformers_with_preexisting_heavy_clashes,minimum_selected_conformer_clearance_nm,inner_H_atoms,nuclear_aperture_diameter_nm,nuclear_aperture_relative_error,outer_annulus_radius_mean_nm,outer_annulus_radius_relative_error
LOWER,15,0.1771,9.446039886660751e-16,0.3289083878224277,0.2507185000620844,0.3613390793800051,0.47534325545471523,2.9140683467959727e-05,3,0.05951338697271288,12,0.8163864537754161,0.0274238573437727,1.0740383985523592,0.1043154209085436
UPPER,15,0.1771,5.600497462059774e-16,0.3289083878224277,0.2507185000620844,0.36133907938000537,0.4753432554547158,2.9140683467210327e-05,3,0.07917119058405774,12,0.8163864537754154,0.027423857343773495,1.0740383985523587,0.10431542090854397
