time_fs,PYR2,PYR3,PYR4,PYR5,X1,X2,X3,X4
0.0,1.0,0.0,0.0,0.0,0.002780339067839528,0.9885094298087492,0.008543907928790322,0.00016632319462129712
10.0,0.9836996115922486,0.005650179994390021,0.005468413894527454,0.005181794518833968,0.012636447565112292,0.9738302597110723,0.012386326328257685,0.001146966395557986
20.0,0.965605069973359,0.013065175948765597,0.011046373729569828,0.010283380348305464,0.022310637767636782,0.9594738433015859,0.016116673980609647,0.0020988449501678423
30.0,0.9464296393801929,0.021113645617567345,0.016954887389684477,0.015501827612555329,0.03180626741705853,0.9454329380364326,0.01973803562531769,0.003022758921191418
40.0,0.9269480252005186,0.028775319018208866,0.02299294694499418,0.021283708836278288,0.0411266322797887,0.9317004669357344,0.023253414003037085,0.003919486781440113
50.0,0.907813287609305,0.035520944097685976,0.02862247144498145,0.0280432968480275,0.050274967290906726,0.9182695147367355,0.026665731986151422,0.004789785986206619
60.0,0.8895078518973722,0.04125264420718115,0.033577370002560544,0.03566213389288621,0.05925444767694949,0.90513332413757,0.02997783465483375,0.005634393530647205
70.0,0.8724055593430023,0.045999555448814865,0.03826484124004868,0.04333004396813436,0.06806819005797679,0.892285292129493,0.03319249132000212,0.006454026492528584
80.0,0.8568457941003453,0.04971356263770741,0.04340366140772139,0.05003698185422615,0.0767192535292954,0.8797189664154716,0.036312397494511324,0.007249382560722174
90.0,0.8431288077201488,0.05232165273347921,0.04922580299423964,0.05532373655213259,0.08521064072321748,0.8674280419130755,0.03934017681388961,0.008021140549817925
100.0,0.8314200592697779,0.05390513091700815,0.05512624530565969,0.059548564507554295,0.0935452988512214,0.8554063573396606,0.042278382907897316,0.008769960901220975
110.0,0.8216352363201991,0.054778948520499096,0.06020432945453945,0.06338148570476239,0.10172612072687723,0.843647891877889,0.04512950122414999,0.009496486171084182
120.0,0.8134019149678082,0.05538573152503111,0.06416511190588942,0.06704724160127139,0.10975594576989164,0.8321467619196675,0.047895950805020515,0.010201341505420772
130.0,0.8061429499825739,0.056108842537793135,0.0676282162495566,0.07011999123007658,0.11763756099162041,0.8208972178866464,0.05058008601900136,0.010885135102732322
140.0,0.7992423679040598,0.057155336600991015,0.07150502851397922,0.07209726698097019,0.12537370196239148,0.8098936411254501,0.05318419824768084,0.011548458664478135
150.0,0.7922008518205863,0.05856042865544209,0.07608928769613993,0.07314943182783185,0.1329670537609731,0.7991305408758664,0.0557105175294566,0.012191887833704425
160.0,0.7847023410130409,0.06026161281054829,0.08079683076848783,0.07423921540792312,0.14042025190651775,0.788602551310258,0.058161214161082636,0.012815982622142268
