,PYR2,PYR3,PYR4,PYR5
PYR2,4.005,0.0,0.0,0.0
PYR3,0.0,3.979,0.0,0.0
PYR4,0.0,0.0,4.021,0.0
PYR5,0.0,0.0,0.0,3.787
