,PYR2,PYR3,PYR4,PYR5
PYR2,4.015,0.0,0.0,0.0
PYR3,0.0,4.019,0.0,0.0
PYR4,0.0,0.0,4.029,0.0
PYR5,0.0,0.0,0.0,3.776
